SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
DREDGECORP,EQ,150.25,158.5,144.5,148.35,147.9,148.5,166224,20-MAR-2020
DREDGECORP,EQ,151.2,154.6,146.75,148.5,148.0,160.1,102900,19-MAR-2020
DREDGECORP,EQ,162.2,164.8,153.8,160.1,159.1,161.35,129753,18-MAR-2020
DREDGECORP,EQ,173.2,176.35,161.0,161.35,162.25,171.7,129160,17-MAR-2020
DREDGECORP,EQ,179.0,182.75,168.7,171.7,173.0,183.85,81265,16-MAR-2020
DREDGECORP,EQ,174.7,190.55,165.85,183.85,186.0,184.25,189481,13-MAR-2020
DREDGECORP,EQ,201.65,213.85,180.95,184.25,184.0,221.75,196242,12-MAR-2020
DREDGECORP,EQ,225.45,232.4,217.6,221.75,222.0,226.45,134195,11-MAR-2020
DREDGECORP,EQ,240.0,243.15,224.1,226.45,226.5,249.6,118132,09-MAR-2020
DREDGECORP,EQ,258.0,260.0,244.65,249.6,248.85,270.5,161891,06-MAR-2020
DREDGECORP,EQ,273.0,273.75,267.35,270.5,270.0,269.75,101819,05-MAR-2020
DREDGECORP,EQ,278.85,280.0,265.15,269.75,268.15,277.25,102181,04-MAR-2020
DREDGECORP,EQ,278.25,282.95,271.8,277.25,276.75,277.0,108717,03-MAR-2020
DREDGECORP,EQ,286.9,293.7,272.55,277.0,275.0,281.85,115749,02-MAR-2020
DREDGECORP,EQ,295.0,295.0,280.05,281.85,282.0,303.6,166786,28-FEB-2020
DREDGECORP,EQ,312.5,312.5,299.4,303.6,302.55,311.95,147845,27-FEB-2020
DREDGECORP,EQ,314.05,321.85,310.2,311.95,311.2,317.55,131557,26-FEB-2020
DREDGECORP,EQ,322.25,324.45,316.5,317.55,317.65,321.15,102949,25-FEB-2020
DREDGECORP,EQ,329.5,329.95,320.15,321.15,321.15,333.7,92643,24-FEB-2020
DREDGECORP,EQ,336.55,341.0,332.6,333.7,333.15,339.7,149389,20-FEB-2020
DREDGECORP,EQ,330.1,345.0,328.15,339.7,336.1,328.65,329476,19-FEB-2020
DREDGECORP,EQ,334.0,335.5,325.2,328.65,328.5,337.3,122870,18-FEB-2020
DREDGECORP,EQ,348.0,349.7,336.0,337.3,336.7,333.0,640945,17-FEB-2020
DREDGECORP,EQ,331.4,335.35,325.0,333.0,333.9,329.8,139360,14-FEB-2020
DREDGECORP,EQ,336.0,338.0,328.1,329.8,329.0,336.3,107020,13-FEB-2020
DREDGECORP,EQ,333.5,341.5,325.9,336.3,335.65,329.0,451486,12-FEB-2020
DREDGECORP,EQ,322.1,347.65,317.35,329.0,329.0,320.75,1185137,11-FEB-2020
DREDGECORP,EQ,325.85,325.85,316.6,320.75,321.25,324.5,91855,10-FEB-2020
