SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
DTIL,EQ,108.6,120.0,108.1,109.9,112.0,110.85,1935,20-MAR-2020
DTIL,EQ,101.5,119.95,101.0,110.85,116.0,111.05,3922,19-MAR-2020
DTIL,EQ,122.85,122.85,102.85,111.05,111.9,120.85,4043,18-MAR-2020
DTIL,EQ,119.0,144.2,115.0,120.85,122.85,120.25,1550,17-MAR-2020
DTIL,EQ,121.0,136.3,105.95,120.25,120.0,125.45,1673,16-MAR-2020
DTIL,EQ,102.0,126.5,102.0,125.45,126.05,125.1,2117,13-MAR-2020
DTIL,EQ,131.5,131.5,120.0,125.1,125.9,133.5,1787,12-MAR-2020
DTIL,EQ,131.2,140.95,131.0,133.5,132.1,136.0,1039,11-MAR-2020
DTIL,EQ,138.0,141.9,130.0,136.0,136.0,142.75,2542,09-MAR-2020
DTIL,EQ,146.5,146.5,140.0,142.75,141.9,146.05,1362,06-MAR-2020
DTIL,EQ,151.0,155.3,145.35,146.05,146.1,145.2,250,05-MAR-2020
DTIL,EQ,146.65,149.4,142.75,145.2,144.0,153.45,1393,04-MAR-2020
DTIL,EQ,149.0,159.8,145.5,153.45,152.65,147.65,958,03-MAR-2020
DTIL,EQ,149.4,150.3,147.5,147.65,147.5,148.45,458,02-MAR-2020
DTIL,EQ,144.8,161.9,142.55,148.45,153.0,155.65,2766,28-FEB-2020
DTIL,EQ,156.05,159.05,147.0,155.65,155.8,153.5,3510,27-FEB-2020
DTIL,EQ,155.1,159.95,152.0,153.5,152.0,156.55,2162,26-FEB-2020
DTIL,EQ,159.05,161.85,156.25,156.55,156.25,158.15,911,25-FEB-2020
DTIL,EQ,159.05,166.0,157.1,158.15,158.0,164.95,3284,24-FEB-2020
DTIL,EQ,164.45,167.7,161.5,164.95,165.95,165.45,696,20-FEB-2020
DTIL,EQ,166.0,169.0,164.0,165.45,168.95,164.95,2160,19-FEB-2020
DTIL,EQ,162.85,169.35,162.05,164.95,164.95,162.85,853,18-FEB-2020
DTIL,EQ,167.05,167.05,162.05,162.85,162.75,168.05,1378,17-FEB-2020
DTIL,EQ,167.2,173.0,167.2,168.05,168.0,170.6,2388,14-FEB-2020
DTIL,EQ,179.45,179.45,170.15,170.6,170.2,174.95,2836,13-FEB-2020
DTIL,EQ,184.85,184.9,173.0,174.95,176.0,177.0,3741,12-FEB-2020
DTIL,EQ,177.95,184.05,171.95,177.0,175.05,180.2,6325,11-FEB-2020
DTIL,EQ,176.5,184.05,176.5,180.2,182.0,178.3,2321,10-FEB-2020
