SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
DVL,EQ,52.35,55.35,51.75,53.25,53.35,52.85,13258,20-MAR-2020
DVL,EQ,50.05,55.25,50.0,52.85,52.55,54.85,40250,19-MAR-2020
DVL,EQ,53.4,56.0,51.5,54.85,55.55,55.35,17060,18-MAR-2020
DVL,EQ,50.5,56.5,50.25,55.35,56.45,52.5,68805,17-MAR-2020
DVL,EQ,55.0,56.15,52.1,52.5,52.1,54.6,26294,16-MAR-2020
DVL,EQ,51.5,55.85,41.85,54.6,55.3,52.3,23888,13-MAR-2020
DVL,EQ,53.6,53.9,51.95,52.3,52.0,55.55,31691,12-MAR-2020
DVL,EQ,60.75,60.75,55.05,55.55,56.0,55.6,8433,11-MAR-2020
DVL,EQ,56.95,57.7,54.0,55.6,56.0,57.35,15542,09-MAR-2020
DVL,EQ,57.2,58.0,56.15,57.35,57.4,58.2,5598,06-MAR-2020
DVL,EQ,59.25,59.45,57.5,58.2,57.75,58.9,7515,05-MAR-2020
DVL,EQ,57.55,59.1,57.5,58.9,59.1,57.2,2806,04-MAR-2020
DVL,EQ,57.0,60.95,57.0,57.2,57.1,57.75,5007,03-MAR-2020
DVL,EQ,55.55,60.0,55.55,57.75,57.5,58.6,3388,02-MAR-2020
DVL,EQ,58.75,59.9,56.5,58.6,58.25,59.05,10545,28-FEB-2020
DVL,EQ,59.55,60.1,58.6,59.05,59.0,59.5,3527,27-FEB-2020
DVL,EQ,59.0,60.95,58.45,59.5,59.5,59.75,13250,26-FEB-2020
DVL,EQ,58.3,62.95,58.3,59.75,59.9,60.0,6483,25-FEB-2020
DVL,EQ,60.95,63.3,58.1,60.0,60.0,61.35,4236,24-FEB-2020
DVL,EQ,63.45,63.6,60.45,61.35,61.85,63.1,19865,20-FEB-2020
DVL,EQ,63.2,64.5,62.6,63.1,62.9,63.35,7205,19-FEB-2020
DVL,EQ,65.15,66.65,63.0,63.35,63.8,65.75,7525,18-FEB-2020
DVL,EQ,66.45,67.9,65.35,65.75,65.65,67.5,6861,17-FEB-2020
DVL,EQ,67.4,69.0,67.2,67.5,67.6,67.9,8101,14-FEB-2020
DVL,EQ,67.3,69.5,66.95,67.9,67.7,67.35,11640,13-FEB-2020
DVL,EQ,67.95,71.7,67.1,67.35,67.25,68.1,7279,12-FEB-2020
DVL,EQ,69.4,69.95,67.6,68.1,67.6,69.05,17729,11-FEB-2020
DVL,EQ,70.15,71.0,68.95,69.05,69.0,69.45,3689,10-FEB-2020
