SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
EASTSILK,EQ,0.75,0.75,0.65,0.7,0.75,0.7,5755,20-MAR-2020
EASTSILK,EQ,0.7,0.7,0.6,0.7,0.7,0.65,10238,19-MAR-2020
EASTSILK,EQ,0.65,0.75,0.65,0.65,0.65,0.7,10001,18-MAR-2020
EASTSILK,EQ,0.75,0.75,0.7,0.7,0.7,0.75,1196,17-MAR-2020
EASTSILK,EQ,0.75,0.75,0.65,0.75,0.75,0.7,10481,16-MAR-2020
EASTSILK,EQ,0.7,0.8,0.7,0.7,0.7,0.75,14463,13-MAR-2020
EASTSILK,EQ,0.85,0.85,0.75,0.75,0.8,0.8,21278,12-MAR-2020
EASTSILK,EQ,0.75,0.8,0.7,0.8,0.8,0.75,29629,11-MAR-2020
EASTSILK,EQ,0.75,0.85,0.75,0.75,0.75,0.8,2874,09-MAR-2020
EASTSILK,EQ,0.75,0.8,0.75,0.8,0.8,0.8,1088,06-MAR-2020
EASTSILK,EQ,0.8,0.8,0.75,0.8,0.8,0.8,646,05-MAR-2020
EASTSILK,EQ,0.9,0.9,0.8,0.8,0.8,0.85,2884,04-MAR-2020
EASTSILK,BE,0.85,0.85,0.85,0.85,0.85,0.8,1,03-MAR-2020
EASTSILK,BE,0.85,0.85,0.8,0.8,0.8,0.8,4014,02-MAR-2020
EASTSILK,BE,0.75,0.85,0.75,0.8,0.8,0.8,5212,28-FEB-2020
EASTSILK,BE,0.85,0.85,0.8,0.8,0.8,0.8,3673,27-FEB-2020
EASTSILK,BE,0.85,0.85,0.8,0.8,0.8,0.8,2825,26-FEB-2020
EASTSILK,BE,0.85,0.9,0.8,0.8,0.8,0.85,281,25-FEB-2020
EASTSILK,BE,0.8,0.9,0.8,0.85,0.85,0.85,17170,24-FEB-2020
EASTSILK,BE,0.85,0.85,0.85,0.85,0.85,0.85,5190,20-FEB-2020
EASTSILK,BE,0.75,0.85,0.75,0.85,0.85,0.8,8682,19-FEB-2020
EASTSILK,BE,0.8,0.8,0.8,0.8,0.8,0.85,2797,18-FEB-2020
EASTSILK,BE,0.9,0.9,0.85,0.85,0.85,0.9,2021,17-FEB-2020
EASTSILK,BE,0.8,0.9,0.8,0.9,0.9,0.85,10915,14-FEB-2020
EASTSILK,BE,0.85,0.85,0.85,0.85,0.85,0.85,5241,13-FEB-2020
EASTSILK,BE,0.95,0.95,0.85,0.85,0.85,0.9,1246,12-FEB-2020
EASTSILK,BE,0.85,0.9,0.8,0.9,0.9,0.85,5072,11-FEB-2020
EASTSILK,BE,0.9,0.95,0.85,0.85,0.85,0.9,6908,10-FEB-2020
