SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
EASUNREYRL,BZ,1.6,1.7,1.6,1.7,1.7,1.65,2220,20-MAR-2020
EASUNREYRL,BZ,1.65,1.65,1.6,1.65,1.65,1.65,522,19-MAR-2020
EASUNREYRL,BZ,1.65,1.65,1.65,1.65,1.65,1.65,1701,18-MAR-2020
EASUNREYRL,BZ,1.7,1.7,1.65,1.65,1.65,1.7,2758,17-MAR-2020
EASUNREYRL,BZ,1.7,1.7,1.7,1.7,1.7,1.7,75,16-MAR-2020
EASUNREYRL,BZ,1.7,1.7,1.7,1.7,1.7,1.7,1714,13-MAR-2020
EASUNREYRL,BZ,1.75,1.75,1.7,1.7,1.7,1.75,2720,12-MAR-2020
EASUNREYRL,BZ,1.75,1.8,1.75,1.75,1.75,1.75,1035,11-MAR-2020
EASUNREYRL,BZ,1.8,1.8,1.75,1.75,1.75,1.8,1191,09-MAR-2020
EASUNREYRL,BZ,1.85,1.85,1.8,1.8,1.8,1.85,1171,06-MAR-2020
EASUNREYRL,BZ,1.9,1.9,1.85,1.85,1.85,1.9,569,04-MAR-2020
EASUNREYRL,BZ,1.9,1.9,1.9,1.9,1.9,1.95,1109,02-MAR-2020
EASUNREYRL,BZ,1.95,1.95,1.95,1.95,1.95,1.9,785,28-FEB-2020
EASUNREYRL,BZ,2.1,2.1,1.9,1.9,1.9,2.0,3400,27-FEB-2020
EASUNREYRL,BZ,2.1,2.1,2.0,2.0,2.0,2.05,1077,26-FEB-2020
EASUNREYRL,BZ,2.0,2.2,2.0,2.05,2.2,2.1,2717,25-FEB-2020
EASUNREYRL,BZ,2.2,2.2,2.1,2.1,2.1,2.2,5932,24-FEB-2020
EASUNREYRL,BZ,2.3,2.3,2.2,2.2,2.2,2.3,1655,20-FEB-2020
EASUNREYRL,BZ,2.3,2.3,2.2,2.3,2.3,2.3,880,19-FEB-2020
EASUNREYRL,BZ,2.2,2.3,2.1,2.3,2.3,2.2,420,18-FEB-2020
EASUNREYRL,BZ,2.2,2.4,2.2,2.2,2.2,2.3,1073,17-FEB-2020
EASUNREYRL,BZ,2.3,2.3,2.3,2.3,2.3,2.2,1000,14-FEB-2020
EASUNREYRL,BZ,2.2,2.2,2.05,2.2,2.2,2.1,325,13-FEB-2020
EASUNREYRL,BZ,2.15,2.15,2.1,2.1,2.1,2.2,265,12-FEB-2020
EASUNREYRL,BZ,2.25,2.25,2.15,2.2,2.2,2.25,3089,11-FEB-2020
EASUNREYRL,BZ,2.25,2.3,2.25,2.25,2.25,2.35,9047,10-FEB-2020
