SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
EIFFL,SM,82.25,82.25,80.5,81.05,81.5,82.0,13600,20-MAR-2020
EIFFL,SM,78.0,82.5,78.0,82.0,82.0,78.0,8000,19-MAR-2020
EIFFL,SM,95.0,95.0,78.0,78.0,78.0,95.0,4800,18-MAR-2020
EIFFL,SM,95.0,98.0,95.0,95.0,95.0,90.5,6400,17-MAR-2020
EIFFL,SM,99.65,100.0,89.5,90.5,89.5,99.85,9600,16-MAR-2020
EIFFL,SM,95.1,100.5,95.0,99.85,100.0,100.25,5600,13-MAR-2020
EIFFL,SM,102.0,103.05,98.0,100.25,100.5,108.0,15200,12-MAR-2020
EIFFL,SM,102.1,108.0,98.0,108.0,108.0,107.0,5600,11-MAR-2020
EIFFL,SM,105.0,107.0,105.0,107.0,107.0,109.95,1600,09-MAR-2020
EIFFL,SM,105.0,110.2,105.0,109.95,110.2,108.15,8800,06-MAR-2020
EIFFL,SM,109.95,109.95,107.0,108.15,108.15,110.0,6400,05-MAR-2020
EIFFL,SM,113.0,113.5,109.1,110.0,109.1,113.9,8800,04-MAR-2020
EIFFL,SM,113.5,114.0,113.5,113.9,114.0,113.25,5600,03-MAR-2020
EIFFL,SM,113.0,113.5,113.0,113.25,113.25,112.25,4800,02-MAR-2020
EIFFL,SM,105.0,112.25,105.0,112.25,112.25,113.0,4800,28-FEB-2020
EIFFL,SM,107.0,113.0,107.0,113.0,113.0,112.5,8000,27-FEB-2020
EIFFL,SM,106.0,112.7,106.0,112.5,112.5,112.85,6400,26-FEB-2020
EIFFL,SM,113.0,113.3,112.75,112.85,112.9,112.85,5600,25-FEB-2020
EIFFL,SM,113.0,113.0,112.4,112.85,112.85,112.65,4800,24-FEB-2020
EIFFL,SM,107.5,113.25,107.5,112.65,111.5,114.3,8000,20-FEB-2020
EIFFL,SM,114.0,114.3,114.0,114.3,114.3,113.5,3200,19-FEB-2020
EIFFL,SM,105.1,113.5,105.1,113.5,113.5,114.65,6400,18-FEB-2020
EIFFL,SM,114.5,114.85,114.5,114.65,114.65,114.45,4800,17-FEB-2020
EIFFL,SM,113.8,114.45,113.8,114.45,114.45,113.55,4000,14-FEB-2020
EIFFL,SM,113.5,113.6,113.5,113.55,113.55,114.5,5600,13-FEB-2020
EIFFL,SM,114.75,114.75,114.5,114.5,114.5,115.25,4000,12-FEB-2020
EIFFL,SM,115.0,115.25,115.0,115.25,115.25,114.75,5600,11-FEB-2020
EIFFL,SM,114.5,114.75,114.5,114.75,114.75,114.7,4000,10-FEB-2020
