SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
EMAMILTD,EQ,176.0,197.15,176.0,184.2,184.5,174.05,504472,20-MAR-2020
EMAMILTD,EQ,185.0,198.0,154.05,174.05,185.0,189.35,2535035,19-MAR-2020
EMAMILTD,EQ,200.0,200.0,187.05,189.35,188.2,195.7,676191,18-MAR-2020
EMAMILTD,EQ,199.0,202.65,192.05,195.7,196.5,194.05,2712767,17-MAR-2020
EMAMILTD,EQ,206.0,211.25,184.8,194.05,192.0,207.05,968601,16-MAR-2020
EMAMILTD,EQ,165.1,218.35,163.2,207.05,210.0,202.8,806107,13-MAR-2020
EMAMILTD,EQ,216.1,219.9,191.3,202.8,205.0,225.05,1324222,12-MAR-2020
EMAMILTD,EQ,225.0,229.95,220.5,225.05,226.0,229.3,409026,11-MAR-2020
EMAMILTD,EQ,236.2,238.85,226.2,229.3,228.0,240.35,427329,09-MAR-2020
EMAMILTD,EQ,240.0,244.5,231.0,240.35,241.05,244.3,259373,06-MAR-2020
EMAMILTD,EQ,250.0,253.35,242.0,244.3,245.0,250.0,921558,05-MAR-2020
EMAMILTD,EQ,258.6,259.8,248.0,250.0,250.0,257.0,309092,04-MAR-2020
EMAMILTD,EQ,259.9,263.0,255.35,257.0,257.0,258.45,493583,03-MAR-2020
EMAMILTD,EQ,258.9,263.25,255.05,258.45,259.25,256.55,292497,02-MAR-2020
EMAMILTD,EQ,260.0,260.0,252.25,256.55,257.0,264.35,389821,28-FEB-2020
EMAMILTD,EQ,269.1,270.15,262.1,264.35,263.6,270.3,207447,27-FEB-2020
EMAMILTD,EQ,269.4,278.5,264.0,270.3,269.1,269.55,479077,26-FEB-2020
EMAMILTD,EQ,269.3,275.4,267.1,269.55,268.9,269.3,367104,25-FEB-2020
EMAMILTD,EQ,268.0,271.9,264.3,269.3,269.35,269.3,342578,24-FEB-2020
EMAMILTD,EQ,273.85,276.25,268.0,269.3,268.3,272.55,601625,20-FEB-2020
EMAMILTD,EQ,275.65,276.95,270.15,272.55,272.0,274.05,312656,19-FEB-2020
EMAMILTD,EQ,285.15,285.15,266.5,274.05,272.05,284.35,957214,18-FEB-2020
EMAMILTD,EQ,276.35,289.75,275.25,284.35,285.2,275.8,536759,17-FEB-2020
EMAMILTD,EQ,287.45,288.6,272.25,275.8,272.5,285.85,719197,14-FEB-2020
EMAMILTD,EQ,293.3,293.3,285.0,285.85,286.05,292.75,268002,13-FEB-2020
EMAMILTD,EQ,294.8,294.8,287.2,292.75,291.0,293.05,632407,12-FEB-2020
EMAMILTD,EQ,295.95,298.2,291.2,293.05,293.75,293.25,531155,11-FEB-2020
EMAMILTD,EQ,303.0,304.75,291.0,293.25,293.0,300.3,702344,10-FEB-2020
