SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
EMMBI,EQ,48.05,52.85,46.5,47.55,47.05,48.65,12603,20-MAR-2020
EMMBI,EQ,51.0,51.0,46.2,48.65,50.0,51.1,14927,19-MAR-2020
EMMBI,EQ,58.95,59.3,48.5,51.1,48.55,57.6,15227,18-MAR-2020
EMMBI,EQ,62.0,62.45,54.1,57.6,54.25,60.7,31429,17-MAR-2020
EMMBI,EQ,66.0,66.0,59.2,60.7,63.0,65.65,15009,16-MAR-2020
EMMBI,EQ,71.9,86.6,62.0,65.65,65.9,72.95,55894,13-MAR-2020
EMMBI,EQ,77.1,77.9,69.05,72.95,73.5,79.4,30243,12-MAR-2020
EMMBI,EQ,82.7,82.7,74.0,79.4,79.5,76.0,27941,11-MAR-2020
EMMBI,EQ,86.0,93.6,72.6,76.0,75.7,86.1,53520,09-MAR-2020
EMMBI,EQ,88.5,88.5,80.5,86.1,87.0,88.5,23769,06-MAR-2020
EMMBI,EQ,90.05,90.05,87.55,88.5,88.05,88.9,8255,05-MAR-2020
EMMBI,EQ,92.95,94.45,88.25,88.9,88.45,92.9,3443,04-MAR-2020
EMMBI,EQ,90.05,103.6,88.1,92.9,93.0,88.8,22027,03-MAR-2020
EMMBI,EQ,90.15,93.9,87.95,88.8,89.75,89.65,6371,02-MAR-2020
EMMBI,EQ,90.15,94.45,88.0,89.65,90.5,91.5,18652,28-FEB-2020
EMMBI,EQ,93.0,101.6,90.0,91.5,92.25,93.2,16766,27-FEB-2020
EMMBI,EQ,96.05,98.45,92.0,93.2,94.0,96.1,6002,26-FEB-2020
EMMBI,EQ,98.0,99.8,95.2,96.1,96.0,98.05,8944,25-FEB-2020
EMMBI,EQ,98.5,99.8,96.5,98.05,99.8,98.7,8757,24-FEB-2020
EMMBI,EQ,99.5,100.9,98.15,98.7,98.15,99.4,11341,20-FEB-2020
EMMBI,EQ,99.9,99.95,98.15,99.4,98.75,99.05,6087,19-FEB-2020
EMMBI,EQ,103.6,103.6,98.0,99.05,98.15,99.6,9957,18-FEB-2020
EMMBI,EQ,103.95,103.95,99.15,99.6,99.15,100.15,8685,17-FEB-2020
EMMBI,EQ,100.05,103.75,99.0,100.15,100.0,101.75,16887,14-FEB-2020
EMMBI,EQ,105.0,105.0,99.0,101.75,101.75,102.7,16722,13-FEB-2020
EMMBI,EQ,109.0,109.0,102.0,102.7,103.0,106.3,18222,12-FEB-2020
EMMBI,EQ,109.95,109.95,104.55,106.3,106.4,106.2,10881,11-FEB-2020
EMMBI,EQ,110.0,111.7,105.55,106.2,105.65,108.8,5707,10-FEB-2020
