SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
EMOFSR1RGG,MF,7.18,7.44,7.18,7.4,7.4,7.34,7885,20-MAR-2020
EMOFSR1RGG,MF,7.13,7.65,7.05,7.34,7.35,7.82,282056,19-MAR-2020
EMOFSR1RGG,MF,7.72,8.0,7.7,7.82,7.92,8.01,26898,18-MAR-2020
EMOFSR1RGG,MF,7.51,8.2,7.51,8.01,8.0,7.71,62421,17-MAR-2020
EMOFSR1RGG,MF,7.57,7.77,7.5,7.71,7.77,8.3,109354,16-MAR-2020
EMOFSR1RGG,MF,7.3,8.3,7.3,8.3,8.3,8.06,65048,13-MAR-2020
EMOFSR1RGG,MF,8.02,8.2,8.0,8.06,8.06,8.79,82970,12-MAR-2020
EMOFSR1RGG,MF,8.33,8.8,8.33,8.79,8.79,8.54,99256,11-MAR-2020
EMOFSR1RGG,MF,8.14,8.78,8.14,8.54,8.54,8.78,36056,09-MAR-2020
EMOFSR1RGG,MF,8.7,8.78,8.7,8.78,8.78,9.2,13500,06-MAR-2020
EMOFSR1RGG,MF,9.3,9.3,9.11,9.2,9.2,9.21,31500,05-MAR-2020
EMOFSR1RGG,MF,9.25,9.26,9.19,9.21,9.21,9.21,39300,04-MAR-2020
EMOFSR1RGG,MF,9.29,9.37,9.16,9.21,9.25,9.29,118300,03-MAR-2020
EMOFSR1RGG,MF,9.28,9.39,9.23,9.29,9.29,9.11,9474,02-MAR-2020
EMOFSR1RGG,MF,9.17,9.19,9.1,9.11,9.11,9.49,30985,28-FEB-2020
EMOFSR1RGG,MF,9.41,9.49,9.37,9.49,9.49,9.53,53307,27-FEB-2020
EMOFSR1RGG,MF,9.52,9.55,9.52,9.53,9.53,9.57,33162,26-FEB-2020
EMOFSR1RGG,MF,9.49,9.58,9.49,9.57,9.57,9.6,19801,25-FEB-2020
EMOFSR1RGG,MF,9.52,9.63,9.52,9.6,9.61,9.62,468886,24-FEB-2020
EMOFSR1RGG,MF,9.53,9.63,9.53,9.62,9.62,9.57,26367,20-FEB-2020
EMOFSR1RGG,MF,9.48,9.59,9.36,9.57,9.59,9.48,66455,19-FEB-2020
EMOFSR1RGG,MF,9.41,9.48,9.27,9.48,9.48,9.6,25200,18-FEB-2020
EMOFSR1RGG,MF,9.53,9.64,9.53,9.6,9.6,9.63,14300,17-FEB-2020
EMOFSR1RGG,MF,9.61,9.67,9.61,9.63,9.63,9.69,16257,14-FEB-2020
EMOFSR1RGG,MF,9.52,9.69,9.52,9.69,9.69,9.52,18091,13-FEB-2020
EMOFSR1RGG,MF,9.53,9.59,9.44,9.52,9.53,9.51,98000,12-FEB-2020
EMOFSR1RGG,MF,9.49,9.56,9.45,9.51,9.51,9.34,88922,11-FEB-2020
EMOFSR1RGG,MF,9.4,9.49,9.26,9.34,9.34,9.37,16765,10-FEB-2020
