SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ENGINERSIN,EQ,56.0,58.45,53.6,57.1,57.5,54.4,1127264,20-MAR-2020
ENGINERSIN,EQ,53.0,55.2,51.0,54.4,54.0,55.05,1238243,19-MAR-2020
ENGINERSIN,EQ,55.7,57.9,51.25,55.05,56.55,54.7,1761826,18-MAR-2020
ENGINERSIN,EQ,57.1,58.4,53.0,54.7,53.75,57.0,1000984,17-MAR-2020
ENGINERSIN,EQ,60.0,60.0,56.75,57.0,56.95,60.4,1042372,16-MAR-2020
ENGINERSIN,EQ,52.0,64.0,49.2,60.4,61.85,61.5,2707624,13-MAR-2020
ENGINERSIN,EQ,65.75,66.0,58.6,61.5,61.5,67.95,2101865,12-MAR-2020
ENGINERSIN,EQ,68.0,69.35,66.2,67.95,68.0,67.4,1186581,11-MAR-2020
ENGINERSIN,EQ,70.65,70.65,66.1,67.4,67.45,71.5,1564478,09-MAR-2020
ENGINERSIN,EQ,70.0,71.85,68.2,71.5,71.4,71.85,979565,06-MAR-2020
ENGINERSIN,EQ,73.6,73.6,71.1,71.85,71.75,72.15,975196,05-MAR-2020
ENGINERSIN,EQ,76.1,76.1,70.65,72.15,73.0,75.7,1546238,04-MAR-2020
ENGINERSIN,EQ,72.5,76.0,72.5,75.7,75.95,72.1,1676172,03-MAR-2020
ENGINERSIN,EQ,72.0,72.95,70.85,72.1,72.6,70.0,1016041,02-MAR-2020
ENGINERSIN,EQ,72.45,72.45,69.75,70.0,70.0,73.25,2747508,28-FEB-2020
ENGINERSIN,EQ,75.0,75.8,71.0,73.25,72.8,74.95,1460715,27-FEB-2020
ENGINERSIN,EQ,80.4,80.65,74.5,74.95,74.65,80.7,1564697,26-FEB-2020
ENGINERSIN,EQ,82.25,82.95,80.35,80.7,80.4,81.75,652872,25-FEB-2020
ENGINERSIN,EQ,81.9,82.65,80.6,81.75,82.5,81.9,645029,24-FEB-2020
ENGINERSIN,EQ,83.6,83.6,81.45,81.9,82.75,83.45,933445,20-FEB-2020
ENGINERSIN,EQ,79.5,83.9,79.5,83.45,83.75,78.85,1546497,19-FEB-2020
ENGINERSIN,EQ,81.85,81.85,78.3,78.85,78.75,81.85,1630331,18-FEB-2020
ENGINERSIN,EQ,84.55,84.8,80.7,81.85,81.6,84.65,1395363,17-FEB-2020
ENGINERSIN,EQ,86.05,86.5,84.1,84.65,84.5,89.1,1964967,14-FEB-2020
ENGINERSIN,EQ,90.15,90.75,88.7,89.1,88.95,89.9,1293055,13-FEB-2020
ENGINERSIN,EQ,90.05,90.5,89.55,89.9,90.0,90.0,3149311,12-FEB-2020
ENGINERSIN,EQ,92.35,92.65,89.6,90.0,90.05,91.85,1675241,11-FEB-2020
ENGINERSIN,EQ,92.5,92.75,91.2,91.85,91.7,91.95,941386,10-FEB-2020
