SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ENIL,EQ,129.1,143.0,129.05,132.85,130.0,132.9,4322,20-MAR-2020
ENIL,EQ,129.0,139.35,126.0,132.9,132.0,133.95,5661,19-MAR-2020
ENIL,EQ,160.9,160.95,130.0,133.95,139.0,161.3,32480,18-MAR-2020
ENIL,EQ,170.05,171.0,153.0,161.3,161.4,175.85,4664,17-MAR-2020
ENIL,EQ,175.0,179.9,157.05,175.85,178.5,181.65,15527,16-MAR-2020
ENIL,EQ,169.7,199.0,150.05,181.65,170.2,177.85,14123,13-MAR-2020
ENIL,EQ,188.0,188.95,174.0,177.85,176.0,194.6,22935,12-MAR-2020
ENIL,EQ,189.55,196.0,182.05,194.6,191.1,193.4,19185,11-MAR-2020
ENIL,EQ,195.0,197.95,185.0,193.4,193.0,196.3,31247,09-MAR-2020
ENIL,EQ,190.05,203.05,187.0,196.3,188.3,193.55,6034,06-MAR-2020
ENIL,EQ,189.7,195.0,187.0,193.55,195.0,194.95,48652,05-MAR-2020
ENIL,EQ,184.05,195.0,184.05,194.95,194.95,188.6,3114,04-MAR-2020
ENIL,EQ,192.05,194.35,183.4,188.6,189.0,192.4,22631,03-MAR-2020
ENIL,EQ,208.0,208.0,189.0,192.4,189.95,195.15,7340,02-MAR-2020
ENIL,EQ,200.2,200.2,185.95,195.15,194.8,203.05,9506,28-FEB-2020
ENIL,EQ,216.85,216.85,200.1,203.05,200.3,208.55,23388,27-FEB-2020
ENIL,EQ,206.5,210.7,205.0,208.55,207.95,212.3,11010,26-FEB-2020
ENIL,EQ,213.0,217.5,206.15,212.3,213.0,213.25,15202,25-FEB-2020
ENIL,EQ,211.95,215.0,208.0,213.25,214.65,212.9,7303,24-FEB-2020
ENIL,EQ,220.0,225.8,210.0,212.9,210.0,221.35,34056,20-FEB-2020
ENIL,EQ,226.0,226.95,216.1,221.35,223.95,220.35,6779,19-FEB-2020
ENIL,EQ,230.25,235.0,215.45,220.35,218.9,218.7,34892,18-FEB-2020
ENIL,EQ,225.0,226.75,218.0,218.7,219.0,225.45,4356,17-FEB-2020
ENIL,EQ,233.05,233.05,223.0,225.45,223.0,233.35,7729,14-FEB-2020
ENIL,EQ,236.5,238.7,231.8,233.35,233.3,236.25,868,13-FEB-2020
ENIL,EQ,230.0,238.75,230.0,236.25,237.0,233.0,1106,12-FEB-2020
ENIL,EQ,235.0,237.6,233.0,233.0,233.0,228.85,1359,11-FEB-2020
ENIL,EQ,236.8,236.95,226.3,228.85,231.9,237.4,10366,10-FEB-2020
