SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
EQUITAS,EQ,49.0,54.1,46.95,51.6,51.65,49.0,6456733,20-MAR-2020
EQUITAS,EQ,45.7,52.25,41.8,49.0,48.95,50.75,9699824,19-MAR-2020
EQUITAS,EQ,62.1,62.3,49.6,50.75,50.65,61.75,11979744,18-MAR-2020
EQUITAS,EQ,69.65,71.8,58.8,61.75,60.05,68.2,3881051,17-MAR-2020
EQUITAS,EQ,71.0,72.1,65.1,68.2,68.5,76.55,8029053,16-MAR-2020
EQUITAS,EQ,68.0,79.5,62.5,76.55,76.2,73.05,6126843,13-MAR-2020
EQUITAS,EQ,82.0,82.05,71.0,73.05,73.85,87.85,9226453,12-MAR-2020
EQUITAS,EQ,82.1,89.4,82.1,87.85,87.5,85.15,5653008,11-MAR-2020
EQUITAS,EQ,91.2,93.65,84.1,85.15,84.3,94.65,4481298,09-MAR-2020
EQUITAS,EQ,97.85,97.85,92.0,94.65,94.5,101.85,5262515,06-MAR-2020
EQUITAS,EQ,105.1,105.5,101.5,101.85,101.75,104.1,3698619,05-MAR-2020
EQUITAS,EQ,106.7,108.75,102.55,104.1,103.8,105.25,8149261,04-MAR-2020
EQUITAS,EQ,107.4,109.05,101.2,105.25,105.7,106.75,11995530,03-MAR-2020
EQUITAS,EQ,111.3,113.2,105.35,106.75,106.7,107.85,3346923,02-MAR-2020
EQUITAS,EQ,111.5,112.55,107.05,107.85,108.15,113.85,6607218,28-FEB-2020
EQUITAS,EQ,114.45,114.95,111.25,113.85,114.9,114.45,3600130,27-FEB-2020
EQUITAS,EQ,114.8,115.95,113.5,114.45,114.7,114.15,4163094,26-FEB-2020
EQUITAS,EQ,113.85,116.75,113.5,114.15,114.25,113.85,2969417,25-FEB-2020
EQUITAS,EQ,112.9,116.4,110.8,113.85,113.9,114.1,4916775,24-FEB-2020
EQUITAS,EQ,113.7,117.2,113.45,114.1,114.15,112.85,5259752,20-FEB-2020
EQUITAS,EQ,107.5,113.7,106.8,112.85,113.45,106.25,6214947,19-FEB-2020
EQUITAS,EQ,106.4,107.4,104.5,106.25,106.7,106.4,1831999,18-FEB-2020
EQUITAS,EQ,108.0,109.75,106.1,106.4,106.85,108.05,2257330,17-FEB-2020
EQUITAS,EQ,111.25,112.0,107.25,108.05,107.95,111.25,2604361,14-FEB-2020
EQUITAS,EQ,112.3,112.35,109.85,111.25,111.15,111.95,1794767,13-FEB-2020
EQUITAS,EQ,114.4,114.4,111.65,111.95,112.3,113.55,1605772,12-FEB-2020
EQUITAS,EQ,114.0,115.85,113.2,113.55,113.8,113.05,2248415,11-FEB-2020
EQUITAS,EQ,115.5,116.8,111.5,113.05,113.0,115.75,2832780,10-FEB-2020
