SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ERIS,EQ,370.0,409.9,364.55,378.55,379.0,376.5,22843,20-MAR-2020
ERIS,EQ,370.0,390.0,343.35,376.5,382.0,388.35,46484,19-MAR-2020
ERIS,EQ,402.0,417.8,380.3,388.35,383.0,402.25,669081,18-MAR-2020
ERIS,EQ,399.0,416.0,390.0,402.25,402.0,399.75,41103,17-MAR-2020
ERIS,EQ,398.85,409.95,389.3,399.75,400.0,398.95,21424,16-MAR-2020
ERIS,EQ,360.1,420.0,321.0,398.95,391.0,400.45,170662,13-MAR-2020
ERIS,EQ,411.0,432.0,387.0,400.45,400.0,435.15,71336,12-MAR-2020
ERIS,EQ,418.05,440.0,418.05,435.15,435.0,430.85,32811,11-MAR-2020
ERIS,EQ,442.95,442.95,421.55,430.85,421.65,435.95,30449,09-MAR-2020
ERIS,EQ,421.0,438.85,421.0,435.95,435.45,431.9,28885,06-MAR-2020
ERIS,EQ,439.7,445.8,424.4,431.9,431.0,440.1,52563,05-MAR-2020
ERIS,EQ,435.0,442.95,425.2,440.1,439.7,437.85,84418,04-MAR-2020
ERIS,EQ,433.4,447.7,427.25,437.85,436.0,432.8,76277,03-MAR-2020
ERIS,EQ,440.0,449.0,415.1,432.8,437.0,433.65,40405,02-MAR-2020
ERIS,EQ,404.5,440.0,404.0,433.65,436.0,425.75,65035,28-FEB-2020
ERIS,EQ,418.4,434.0,409.55,425.75,425.8,413.35,68160,27-FEB-2020
ERIS,EQ,421.95,431.5,405.1,413.35,411.5,422.0,28392,26-FEB-2020
ERIS,EQ,423.0,427.3,411.6,422.0,424.9,423.25,92896,25-FEB-2020
ERIS,EQ,430.0,434.35,418.3,423.25,423.5,433.15,86203,24-FEB-2020
ERIS,EQ,446.8,446.8,426.95,433.15,428.5,441.9,1216110,20-FEB-2020
ERIS,EQ,443.35,448.75,432.2,441.9,439.25,445.8,199837,19-FEB-2020
ERIS,EQ,432.55,454.7,430.0,445.8,440.5,441.55,89062,18-FEB-2020
ERIS,EQ,465.0,478.15,422.65,441.55,438.0,465.5,191560,17-FEB-2020
ERIS,EQ,523.0,525.8,451.35,465.5,466.5,525.0,270435,14-FEB-2020
ERIS,EQ,529.55,530.2,521.05,525.0,522.7,529.55,15726,13-FEB-2020
ERIS,EQ,528.9,534.3,515.0,529.55,527.0,524.05,45977,12-FEB-2020
ERIS,EQ,508.9,531.0,505.2,524.05,524.0,503.5,120666,11-FEB-2020
ERIS,EQ,519.75,519.75,495.5,503.5,511.0,513.6,48677,10-FEB-2020
