SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
EUROCERA,BZ,0.25,0.3,0.25,0.3,0.3,0.25,591,20-MAR-2020
EUROCERA,BZ,0.25,0.35,0.25,0.25,0.25,0.3,14914,19-MAR-2020
EUROCERA,BZ,0.25,0.35,0.25,0.3,0.3,0.3,57101,18-MAR-2020
EUROCERA,BZ,0.25,0.3,0.25,0.3,0.3,0.25,5657,17-MAR-2020
EUROCERA,BZ,0.2,0.25,0.15,0.25,0.25,0.2,9132,16-MAR-2020
EUROCERA,BZ,0.2,0.2,0.2,0.2,0.2,0.25,939,13-MAR-2020
EUROCERA,BZ,0.25,0.35,0.25,0.25,0.25,0.3,12281,11-MAR-2020
EUROCERA,BZ,0.35,0.35,0.3,0.3,0.3,0.35,2109,09-MAR-2020
EUROCERA,BZ,0.35,0.35,0.35,0.35,0.35,0.4,1001,06-MAR-2020
EUROCERA,BZ,0.4,0.4,0.4,0.4,0.4,0.4,490,04-MAR-2020
EUROCERA,BZ,0.4,0.45,0.4,0.4,0.4,0.4,10875,03-MAR-2020
EUROCERA,BZ,0.4,0.4,0.4,0.4,0.4,0.4,3221,02-MAR-2020
EUROCERA,BZ,0.45,0.5,0.4,0.4,0.4,0.45,5020,28-FEB-2020
EUROCERA,BZ,0.45,0.45,0.45,0.45,0.45,0.5,654,27-FEB-2020
EUROCERA,BZ,0.45,0.5,0.45,0.5,0.5,0.45,5271,26-FEB-2020
EUROCERA,BZ,0.45,0.5,0.45,0.45,0.45,0.45,16000,25-FEB-2020
EUROCERA,BZ,0.5,0.5,0.45,0.45,0.45,0.5,14513,24-FEB-2020
EUROCERA,BZ,0.4,0.5,0.4,0.5,0.5,0.45,798,20-FEB-2020
EUROCERA,BZ,0.45,0.45,0.45,0.45,0.45,0.45,500,19-FEB-2020
EUROCERA,BZ,0.5,0.55,0.45,0.45,0.45,0.5,4600,18-FEB-2020
EUROCERA,BZ,0.5,0.5,0.5,0.5,0.5,0.5,10,17-FEB-2020
EUROCERA,BZ,0.45,0.5,0.45,0.5,0.5,0.45,5779,14-FEB-2020
EUROCERA,BZ,0.35,0.45,0.35,0.45,0.45,0.4,32365,13-FEB-2020
EUROCERA,BZ,0.4,0.4,0.35,0.4,0.4,0.4,36599,12-FEB-2020
EUROCERA,BZ,0.45,0.45,0.4,0.4,0.4,0.45,925,11-FEB-2020
EUROCERA,BZ,0.5,0.5,0.45,0.45,0.45,0.45,5101,10-FEB-2020
