SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
EVEREADY,BE,52.0,55.0,50.3,54.2,50.9,52.9,160453,20-MAR-2020
EVEREADY,BE,52.6,54.9,52.55,52.9,52.55,55.3,137622,19-MAR-2020
EVEREADY,BE,56.1,58.2,55.3,55.3,55.3,58.2,133542,18-MAR-2020
EVEREADY,BE,60.0,60.95,56.9,58.2,58.25,59.85,135744,17-MAR-2020
EVEREADY,BE,59.0,60.95,58.85,59.85,59.95,61.9,134115,16-MAR-2020
EVEREADY,BE,58.7,64.0,58.7,61.9,61.6,61.75,376839,13-MAR-2020
EVEREADY,BE,62.1,63.0,61.75,61.75,61.75,65.0,59742,12-MAR-2020
EVEREADY,BE,60.3,66.45,60.3,65.0,65.0,63.45,574740,11-MAR-2020
EVEREADY,BE,60.75,63.5,60.55,63.45,60.55,63.7,341612,09-MAR-2020
EVEREADY,BE,60.85,64.9,60.8,63.7,63.0,64.0,973217,06-MAR-2020
EVEREADY,BE,62.0,64.9,60.2,64.0,63.5,61.85,3245481,05-MAR-2020
EVEREADY,BE,65.35,65.35,60.1,61.85,61.0,62.25,106566,04-MAR-2020
EVEREADY,EQ,63.2,64.9,61.55,62.25,62.85,65.0,284417,03-MAR-2020
EVEREADY,EQ,67.0,67.2,64.75,65.0,65.5,65.65,101859,02-MAR-2020
EVEREADY,EQ,67.1,68.65,63.8,65.65,65.25,70.0,370866,28-FEB-2020
EVEREADY,EQ,67.0,71.4,66.1,70.0,69.95,68.0,1173716,27-FEB-2020
EVEREADY,EQ,64.15,68.4,63.05,68.0,68.0,64.55,327788,26-FEB-2020
EVEREADY,EQ,65.5,66.4,63.55,64.55,64.5,65.25,209625,25-FEB-2020
EVEREADY,EQ,67.25,68.2,64.75,65.25,64.95,67.15,158189,24-FEB-2020
EVEREADY,EQ,68.7,68.9,66.6,67.15,67.4,68.25,198964,20-FEB-2020
EVEREADY,EQ,70.0,72.45,67.15,68.25,67.95,68.05,471598,19-FEB-2020
EVEREADY,EQ,68.9,69.35,66.0,68.05,69.0,68.8,327467,18-FEB-2020
EVEREADY,EQ,73.0,74.0,67.55,68.8,69.3,71.45,556661,17-FEB-2020
EVEREADY,EQ,64.55,73.85,64.45,71.45,71.05,64.0,3191681,14-FEB-2020
EVEREADY,EQ,60.55,66.5,59.0,64.0,64.45,60.55,9270304,13-FEB-2020
EVEREADY,EQ,63.5,63.65,59.8,60.55,60.2,63.15,575616,12-FEB-2020
EVEREADY,EQ,64.0,64.5,62.5,63.15,63.75,63.9,162077,11-FEB-2020
EVEREADY,EQ,63.25,67.3,63.25,63.9,63.75,63.7,354599,10-FEB-2020
