SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
EXIDEIND,EQ,140.1,149.0,137.2,147.5,148.0,139.75,1723560,20-MAR-2020
EXIDEIND,EQ,130.5,145.0,124.7,139.75,140.1,133.3,3186447,19-MAR-2020
EXIDEIND,EQ,141.9,143.0,131.45,133.3,133.8,140.45,1885411,18-MAR-2020
EXIDEIND,EQ,141.0,143.7,137.5,140.45,140.45,141.25,1656227,17-MAR-2020
EXIDEIND,EQ,144.0,145.0,139.1,141.25,142.75,148.75,2107813,16-MAR-2020
EXIDEIND,EQ,129.0,154.0,125.85,148.75,149.5,143.3,3986615,13-MAR-2020
EXIDEIND,EQ,150.0,150.0,139.55,143.3,143.0,153.05,7997096,12-MAR-2020
EXIDEIND,EQ,153.0,157.35,151.1,153.05,153.1,154.85,2327120,11-MAR-2020
EXIDEIND,EQ,157.5,157.95,149.7,154.85,155.0,159.3,2744590,09-MAR-2020
EXIDEIND,EQ,156.8,160.5,153.95,159.3,160.5,161.85,1661787,06-MAR-2020
EXIDEIND,EQ,160.5,163.0,157.8,161.85,161.35,161.8,3146718,05-MAR-2020
EXIDEIND,EQ,158.0,162.8,155.95,161.8,161.7,161.7,5336003,04-MAR-2020
EXIDEIND,EQ,162.4,163.75,158.45,161.7,162.4,159.9,3056334,03-MAR-2020
EXIDEIND,EQ,165.2,168.0,158.9,159.9,160.05,164.35,2486077,02-MAR-2020
EXIDEIND,EQ,166.5,170.0,161.2,164.35,164.0,171.15,2992108,28-FEB-2020
EXIDEIND,EQ,170.0,171.5,167.7,171.15,171.3,170.1,1690276,27-FEB-2020
EXIDEIND,EQ,173.65,174.4,168.0,170.1,169.8,173.65,3201542,26-FEB-2020
EXIDEIND,EQ,174.55,176.05,170.7,173.65,174.55,173.55,1978354,25-FEB-2020
EXIDEIND,EQ,177.95,177.95,172.8,173.55,173.8,178.05,1076209,24-FEB-2020
EXIDEIND,EQ,179.1,179.9,177.4,178.05,177.85,178.25,1232465,20-FEB-2020
EXIDEIND,EQ,178.3,179.6,177.2,178.25,178.8,177.55,738500,19-FEB-2020
EXIDEIND,EQ,177.25,178.0,173.75,177.55,177.5,177.25,1142860,18-FEB-2020
EXIDEIND,EQ,179.5,179.85,175.55,177.25,177.65,179.05,1764795,17-FEB-2020
EXIDEIND,EQ,182.0,182.65,177.65,179.05,179.8,181.05,2329005,14-FEB-2020
EXIDEIND,EQ,180.95,182.7,179.0,181.05,181.8,180.4,3185208,13-FEB-2020
EXIDEIND,EQ,178.5,181.8,177.6,180.4,180.55,177.75,2317428,12-FEB-2020
EXIDEIND,EQ,178.8,181.0,176.5,177.75,177.0,178.5,2257361,11-FEB-2020
EXIDEIND,EQ,182.75,183.0,177.8,178.5,178.2,182.05,2401666,10-FEB-2020
