SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
FELDVR,EQ,11.5,12.35,10.95,11.9,12.0,12.15,22436,20-MAR-2020
FELDVR,EQ,13.1,13.1,12.15,12.15,12.15,13.5,3851,19-MAR-2020
FELDVR,EQ,15.0,15.0,13.5,13.5,13.5,15.0,17740,18-MAR-2020
FELDVR,EQ,15.2,17.8,14.0,15.0,15.0,15.2,14840,17-MAR-2020
FELDVR,EQ,16.5,16.5,15.1,15.2,15.65,16.3,9615,16-MAR-2020
FELDVR,EQ,20.9,20.9,14.85,16.3,16.0,18.55,80895,13-MAR-2020
FELDVR,EQ,21.0,21.5,18.3,18.55,18.5,22.85,30597,12-MAR-2020
FELDVR,EQ,22.9,24.8,21.3,22.85,23.0,23.25,19148,11-MAR-2020
FELDVR,EQ,21.9,24.0,20.25,23.25,24.0,21.25,32100,09-MAR-2020
FELDVR,EQ,18.55,22.2,17.1,21.25,22.1,18.5,64387,06-MAR-2020
FELDVR,EQ,20.6,20.6,18.1,18.5,18.4,19.75,9917,05-MAR-2020
FELDVR,EQ,19.7,22.0,18.25,19.75,20.15,18.7,11491,04-MAR-2020
FELDVR,EQ,19.75,20.3,18.65,18.7,18.95,18.6,3347,03-MAR-2020
FELDVR,EQ,17.0,21.2,17.0,18.6,17.9,17.7,45656,02-MAR-2020
FELDVR,EQ,19.5,19.5,16.75,17.7,17.8,19.5,18784,28-FEB-2020
FELDVR,EQ,20.0,20.2,19.1,19.5,19.55,20.2,5729,27-FEB-2020
FELDVR,EQ,20.55,20.6,20.05,20.2,20.2,20.4,2049,26-FEB-2020
FELDVR,EQ,20.5,20.6,20.15,20.4,20.45,20.25,2438,25-FEB-2020
FELDVR,EQ,20.55,20.95,19.6,20.25,20.1,21.15,9561,24-FEB-2020
FELDVR,EQ,20.65,21.3,20.35,21.15,21.2,21.05,4700,20-FEB-2020
FELDVR,EQ,21.25,21.95,20.9,21.05,21.25,21.6,2708,19-FEB-2020
FELDVR,EQ,21.4,22.8,21.4,21.6,21.55,22.05,2667,18-FEB-2020
FELDVR,EQ,24.65,24.65,22.0,22.05,22.05,22.6,3516,17-FEB-2020
FELDVR,EQ,23.8,23.8,22.1,22.6,22.2,22.9,8895,14-FEB-2020
FELDVR,EQ,22.85,23.9,21.1,22.9,22.55,21.8,19844,13-FEB-2020
FELDVR,EQ,20.35,22.9,20.0,21.8,22.85,20.8,16157,12-FEB-2020
FELDVR,EQ,20.75,21.2,20.55,20.8,20.8,21.15,7729,11-FEB-2020
FELDVR,EQ,20.95,21.4,20.1,21.15,21.35,20.6,6544,10-FEB-2020
