SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
FMGOETZE,EQ,352.6,362.95,340.0,353.95,353.25,352.6,2443,20-MAR-2020
FMGOETZE,EQ,350.0,424.7,335.05,352.6,351.0,355.2,2059,19-MAR-2020
FMGOETZE,EQ,352.6,369.8,350.75,355.2,352.0,356.4,447,18-MAR-2020
FMGOETZE,EQ,390.75,403.45,330.65,356.4,357.0,384.9,1982,17-MAR-2020
FMGOETZE,EQ,380.35,395.0,372.5,384.9,385.0,395.6,1007,16-MAR-2020
FMGOETZE,EQ,356.65,410.05,350.0,395.6,395.15,418.1,3950,13-MAR-2020
FMGOETZE,EQ,490.95,490.95,395.0,418.1,414.8,491.3,10785,12-MAR-2020
FMGOETZE,EQ,456.05,496.5,456.05,491.3,496.5,472.05,562,11-MAR-2020
FMGOETZE,EQ,491.0,491.0,452.1,472.05,478.0,501.4,7049,09-MAR-2020
FMGOETZE,EQ,500.0,509.55,491.0,501.4,503.05,515.15,535,06-MAR-2020
FMGOETZE,EQ,511.6,518.5,511.5,515.15,517.7,514.0,272,05-MAR-2020
FMGOETZE,EQ,513.4,518.75,511.1,514.0,511.5,513.4,640,04-MAR-2020
FMGOETZE,EQ,521.85,539.9,511.1,513.4,514.0,521.85,1168,03-MAR-2020
FMGOETZE,EQ,511.0,539.95,511.0,521.85,529.9,515.85,1355,02-MAR-2020
FMGOETZE,EQ,533.0,543.0,513.5,515.85,513.8,534.65,781,28-FEB-2020
FMGOETZE,EQ,570.0,570.0,528.6,534.65,530.55,554.3,1975,27-FEB-2020
FMGOETZE,EQ,535.0,556.0,535.0,554.3,556.0,535.8,1157,26-FEB-2020
FMGOETZE,EQ,542.0,542.0,535.0,535.8,535.0,542.4,531,25-FEB-2020
FMGOETZE,EQ,560.0,560.0,540.0,542.4,542.0,554.9,899,24-FEB-2020
FMGOETZE,EQ,551.1,558.0,540.0,554.9,557.85,554.5,921,20-FEB-2020
FMGOETZE,EQ,574.8,574.95,547.25,554.5,551.5,557.0,1555,19-FEB-2020
FMGOETZE,EQ,557.55,565.0,550.0,557.0,554.2,557.55,622,18-FEB-2020
FMGOETZE,EQ,560.0,576.05,551.15,557.55,559.0,565.15,2700,17-FEB-2020
FMGOETZE,EQ,566.7,575.0,556.05,565.15,564.0,570.65,783,14-FEB-2020
FMGOETZE,EQ,568.0,576.0,561.55,570.65,574.35,571.55,613,13-FEB-2020
FMGOETZE,EQ,570.0,580.75,569.0,571.55,569.0,575.55,954,12-FEB-2020
FMGOETZE,EQ,593.9,593.9,571.25,575.55,578.0,573.95,644,11-FEB-2020
FMGOETZE,EQ,556.2,584.0,556.2,573.95,578.3,575.9,940,10-FEB-2020
