SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
FMNL,EQ,11.5,12.95,11.2,12.1,12.0,12.1,14041,20-MAR-2020
FMNL,EQ,13.75,13.75,11.6,12.1,12.1,14.1,30658,19-MAR-2020
FMNL,EQ,15.95,15.95,13.8,14.1,14.2,14.5,10184,18-MAR-2020
FMNL,EQ,15.0,17.7,13.95,14.5,14.55,14.85,61742,17-MAR-2020
FMNL,EQ,16.0,18.8,13.75,14.85,14.5,15.9,63002,16-MAR-2020
FMNL,EQ,17.5,17.5,14.5,15.9,15.55,17.65,24274,13-MAR-2020
FMNL,EQ,17.0,18.0,16.1,17.65,17.9,16.9,28673,12-MAR-2020
FMNL,EQ,17.95,18.6,16.15,16.9,16.8,17.4,15595,11-MAR-2020
FMNL,EQ,19.55,21.85,15.8,17.4,16.6,19.55,60797,09-MAR-2020
FMNL,EQ,19.9,20.4,18.2,19.55,20.4,20.6,24154,06-MAR-2020
FMNL,EQ,20.0,21.6,19.95,20.6,20.5,19.85,10652,05-MAR-2020
FMNL,EQ,21.65,23.7,18.75,19.85,19.95,21.2,41178,04-MAR-2020
FMNL,EQ,25.0,25.2,20.45,21.2,21.2,23.3,52695,03-MAR-2020
FMNL,EQ,21.5,23.7,20.55,23.3,23.7,19.75,88447,02-MAR-2020
FMNL,EQ,23.5,23.5,18.5,19.75,19.4,22.0,25634,28-FEB-2020
FMNL,EQ,24.25,24.25,21.35,22.0,22.45,22.95,9941,27-FEB-2020
FMNL,EQ,24.65,24.65,22.5,22.95,22.6,23.3,6590,26-FEB-2020
FMNL,EQ,23.3,24.7,23.0,23.3,23.0,23.55,1863,25-FEB-2020
FMNL,EQ,24.75,24.85,23.25,23.55,23.5,23.85,9308,24-FEB-2020
FMNL,EQ,24.25,25.75,23.25,23.85,23.55,24.4,8260,20-FEB-2020
FMNL,EQ,25.4,25.4,24.4,24.4,24.4,24.15,2720,19-FEB-2020
FMNL,EQ,25.3,25.9,23.55,24.15,23.55,25.8,10667,18-FEB-2020
FMNL,EQ,25.6,26.0,25.4,25.8,25.5,25.85,1019,17-FEB-2020
FMNL,EQ,27.0,27.0,25.6,25.85,26.0,26.45,3860,14-FEB-2020
FMNL,EQ,26.85,27.3,25.15,26.45,25.8,26.1,22037,13-FEB-2020
FMNL,EQ,27.45,27.9,25.8,26.1,26.75,26.55,21830,12-FEB-2020
FMNL,EQ,27.0,27.0,25.25,26.55,26.9,27.0,63330,11-FEB-2020
FMNL,EQ,27.15,28.0,26.1,27.0,27.0,27.2,8937,10-FEB-2020
