SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
FOSECOIND,EQ,998.0,998.0,915.0,963.45,979.0,945.95,2607,20-MAR-2020
FOSECOIND,EQ,1009.4,1049.9,925.0,945.95,925.0,1003.2,2490,19-MAR-2020
FOSECOIND,EQ,1030.0,1098.4,990.0,1003.2,1018.5,1041.7,1352,18-MAR-2020
FOSECOIND,EQ,1080.05,1138.4,1030.0,1041.7,1036.0,1120.35,1651,17-MAR-2020
FOSECOIND,EQ,1053.1,1154.4,1053.05,1120.35,1100.0,1112.45,1128,16-MAR-2020
FOSECOIND,EQ,1128.0,1148.0,1000.05,1112.45,1116.0,1137.6,2070,13-MAR-2020
FOSECOIND,EQ,1175.1,1219.0,1129.9,1137.6,1129.9,1231.7,1019,12-MAR-2020
FOSECOIND,EQ,1266.0,1266.0,1200.05,1231.7,1231.0,1194.45,498,11-MAR-2020
FOSECOIND,EQ,1235.0,1278.4,1177.2,1194.45,1185.0,1241.4,1740,09-MAR-2020
FOSECOIND,EQ,1257.0,1260.0,1221.0,1241.4,1248.05,1269.55,809,06-MAR-2020
FOSECOIND,EQ,1319.0,1320.0,1261.05,1269.55,1267.0,1274.25,588,05-MAR-2020
FOSECOIND,EQ,1346.9,1346.9,1260.0,1274.25,1270.0,1288.15,696,04-MAR-2020
FOSECOIND,EQ,1295.0,1296.0,1268.25,1288.15,1282.1,1283.1,920,03-MAR-2020
FOSECOIND,EQ,1280.4,1318.0,1279.95,1283.1,1280.0,1270.6,1478,02-MAR-2020
FOSECOIND,EQ,1302.4,1345.0,1260.0,1270.6,1262.0,1337.8,1495,28-FEB-2020
FOSECOIND,EQ,1330.45,1356.55,1306.7,1337.8,1356.0,1345.7,734,27-FEB-2020
FOSECOIND,EQ,1336.0,1355.0,1330.4,1345.7,1349.0,1354.85,357,26-FEB-2020
FOSECOIND,EQ,1371.0,1379.4,1336.0,1354.85,1336.0,1375.4,443,25-FEB-2020
FOSECOIND,EQ,1399.0,1410.0,1366.0,1375.4,1380.0,1404.05,924,24-FEB-2020
FOSECOIND,EQ,1356.45,1410.5,1356.45,1404.05,1400.0,1350.45,592,20-FEB-2020
FOSECOIND,EQ,1337.5,1360.0,1333.85,1350.45,1350.0,1326.7,434,19-FEB-2020
FOSECOIND,EQ,1368.0,1370.8,1322.05,1326.7,1323.0,1375.05,778,18-FEB-2020
FOSECOIND,EQ,1383.4,1391.15,1371.4,1375.05,1372.0,1384.65,715,17-FEB-2020
FOSECOIND,EQ,1390.2,1407.8,1370.35,1384.65,1407.8,1390.2,576,14-FEB-2020
FOSECOIND,EQ,1398.05,1398.35,1381.35,1390.2,1385.0,1398.05,408,13-FEB-2020
FOSECOIND,EQ,1406.4,1422.0,1390.0,1398.05,1395.0,1400.05,819,12-FEB-2020
FOSECOIND,EQ,1422.4,1424.95,1398.0,1400.05,1400.0,1422.4,1217,11-FEB-2020
FOSECOIND,EQ,1395.4,1427.1,1374.6,1422.4,1414.1,1388.5,700,10-FEB-2020
