SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GAEL,EQ,96.25,114.8,94.95,102.7,101.0,96.1,127478,20-MAR-2020
GAEL,EQ,95.6,109.0,92.0,96.1,96.95,95.65,76758,19-MAR-2020
GAEL,EQ,101.0,106.0,92.0,95.65,98.5,102.7,100764,18-MAR-2020
GAEL,EQ,111.0,113.35,99.1,102.7,100.0,111.5,66340,17-MAR-2020
GAEL,EQ,110.5,119.85,105.0,111.5,115.0,121.85,91223,16-MAR-2020
GAEL,EQ,107.0,125.95,89.0,121.85,122.75,110.9,191828,13-MAR-2020
GAEL,EQ,118.95,129.7,109.8,110.9,111.9,133.0,89371,12-MAR-2020
GAEL,EQ,136.85,137.55,132.25,133.0,134.25,131.95,24179,11-MAR-2020
GAEL,EQ,144.8,144.8,124.95,131.95,133.0,147.6,83116,09-MAR-2020
GAEL,EQ,140.0,149.0,140.0,147.6,146.3,147.55,42988,06-MAR-2020
GAEL,EQ,154.95,155.15,146.05,147.55,146.05,154.6,55561,05-MAR-2020
GAEL,EQ,162.6,162.6,150.0,154.6,153.25,158.95,55193,04-MAR-2020
GAEL,EQ,160.05,160.9,151.75,158.95,160.0,159.55,56997,03-MAR-2020
GAEL,EQ,160.0,165.0,157.55,159.55,159.0,155.95,50368,02-MAR-2020
GAEL,EQ,165.0,169.3,151.25,155.95,160.0,172.55,125911,28-FEB-2020
GAEL,EQ,173.65,177.0,167.0,172.55,173.05,173.3,85011,27-FEB-2020
GAEL,EQ,163.75,179.0,161.3,173.3,172.55,166.3,184563,26-FEB-2020
GAEL,EQ,160.1,189.75,159.1,166.3,166.15,160.45,734765,25-FEB-2020
GAEL,EQ,158.05,167.2,158.05,160.45,159.0,163.4,44973,24-FEB-2020
GAEL,EQ,156.95,164.9,153.8,163.4,163.4,156.45,102551,20-FEB-2020
GAEL,EQ,147.35,157.45,147.0,156.45,157.05,147.35,76813,19-FEB-2020
GAEL,EQ,148.0,149.0,145.0,147.35,149.0,148.7,17190,18-FEB-2020
GAEL,EQ,150.8,152.0,147.15,148.7,147.35,151.65,21161,17-FEB-2020
GAEL,EQ,150.6,152.85,149.3,151.65,152.3,152.85,25440,14-FEB-2020
GAEL,EQ,156.15,159.95,151.1,152.85,151.5,151.1,72064,13-FEB-2020
GAEL,EQ,147.25,153.2,144.25,151.1,151.15,147.7,34345,12-FEB-2020
GAEL,EQ,146.35,152.5,143.35,147.7,148.0,147.2,37454,11-FEB-2020
GAEL,EQ,151.9,151.9,146.8,147.2,147.0,150.85,26646,10-FEB-2020
