SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GANESHHOUC,EQ,20.35,20.55,19.25,19.3,19.25,20.25,77783,20-MAR-2020
GANESHHOUC,EQ,19.35,20.95,19.35,20.25,20.25,20.35,400234,19-MAR-2020
GANESHHOUC,EQ,21.4,21.8,20.35,20.35,20.35,21.4,23325,18-MAR-2020
GANESHHOUC,EQ,21.55,22.5,21.4,21.4,21.4,22.5,23134,17-MAR-2020
GANESHHOUC,EQ,23.0,24.3,22.0,22.5,22.95,23.15,45997,16-MAR-2020
GANESHHOUC,EQ,23.05,25.25,23.05,23.15,23.05,24.25,37260,13-MAR-2020
GANESHHOUC,EQ,24.25,25.0,24.25,24.25,24.25,25.5,8393,12-MAR-2020
GANESHHOUC,EQ,24.15,25.75,23.35,25.5,25.75,24.55,84230,11-MAR-2020
GANESHHOUC,EQ,24.6,25.45,24.55,24.55,24.55,25.8,32093,09-MAR-2020
GANESHHOUC,EQ,27.0,27.0,25.8,25.8,25.8,27.15,21671,06-MAR-2020
GANESHHOUC,EQ,27.45,28.0,26.85,27.15,27.5,27.45,8041,05-MAR-2020
GANESHHOUC,EQ,29.65,29.65,27.0,27.45,27.2,28.35,19212,04-MAR-2020
GANESHHOUC,BE,29.0,29.6,28.1,28.35,28.5,28.85,16547,03-MAR-2020
GANESHHOUC,BE,27.45,29.05,27.45,28.85,28.6,28.85,15581,02-MAR-2020
GANESHHOUC,BE,30.0,30.0,28.85,28.85,28.85,30.35,19723,28-FEB-2020
GANESHHOUC,BE,29.0,30.75,28.35,30.35,30.3,29.5,15746,27-FEB-2020
GANESHHOUC,BE,29.1,30.0,28.5,29.5,28.9,30.0,25764,26-FEB-2020
GANESHHOUC,BE,31.0,31.2,29.8,30.0,29.85,31.35,24160,25-FEB-2020
GANESHHOUC,BE,32.6,32.6,31.3,31.35,31.35,32.9,17769,24-FEB-2020
GANESHHOUC,BE,31.0,33.2,31.0,32.9,33.0,31.65,18669,20-FEB-2020
GANESHHOUC,BE,31.0,32.4,31.0,31.65,31.55,31.2,6196,19-FEB-2020
GANESHHOUC,BE,32.5,32.5,31.0,31.2,31.05,32.6,23341,18-FEB-2020
GANESHHOUC,BE,32.25,33.5,31.75,32.6,32.6,33.4,14620,17-FEB-2020
GANESHHOUC,BE,35.0,35.0,33.25,33.4,33.5,34.8,7936,14-FEB-2020
GANESHHOUC,BE,33.15,35.0,33.1,34.8,34.15,34.7,5481,13-FEB-2020
GANESHHOUC,BE,34.7,36.85,34.6,34.7,34.6,36.3,9843,12-FEB-2020
GANESHHOUC,BE,37.1,37.1,36.1,36.3,36.4,37.5,3825,11-FEB-2020
GANESHHOUC,BE,37.05,38.95,37.05,37.5,37.5,38.7,4840,10-FEB-2020
