SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GBGLOBAL,EQ,3.9,3.9,3.75,3.75,3.75,3.9,313,20-MAR-2020
GBGLOBAL,EQ,3.9,3.9,3.9,3.9,3.9,3.9,1007,19-MAR-2020
GBGLOBAL,EQ,3.95,4.1,3.9,3.9,3.9,3.95,2298,18-MAR-2020
GBGLOBAL,EQ,3.75,4.0,3.75,3.95,3.95,3.9,272,17-MAR-2020
GBGLOBAL,EQ,3.9,3.9,3.75,3.9,3.9,3.9,3808,16-MAR-2020
GBGLOBAL,EQ,3.9,3.9,3.9,3.9,3.9,4.1,1953,13-MAR-2020
GBGLOBAL,EQ,4.3,4.35,4.1,4.1,4.1,4.3,958,12-MAR-2020
GBGLOBAL,EQ,4.3,4.3,4.3,4.3,4.3,4.5,590,11-MAR-2020
GBGLOBAL,BE,4.5,4.5,4.5,4.5,4.5,4.7,120,06-MAR-2020
GBGLOBAL,BE,4.8,4.8,4.7,4.7,4.7,4.9,562,05-MAR-2020
GBGLOBAL,BE,4.9,5.25,4.9,4.9,4.9,5.15,1003,03-MAR-2020
GBGLOBAL,BE,5.15,5.15,5.15,5.15,5.15,5.4,100,02-MAR-2020
GBGLOBAL,BE,5.4,5.4,5.4,5.4,5.4,5.4,50,27-FEB-2020
GBGLOBAL,BE,5.4,5.4,5.4,5.4,5.4,5.65,40,24-FEB-2020
GBGLOBAL,BE,5.65,5.65,5.65,5.65,5.65,5.9,225,19-FEB-2020
GBGLOBAL,BE,5.9,5.9,5.9,5.9,5.9,6.2,483,18-FEB-2020
GBGLOBAL,BE,6.2,6.2,6.2,6.2,6.2,6.5,28,17-FEB-2020
GBGLOBAL,BE,6.5,6.5,6.5,6.5,6.5,6.8,200,13-FEB-2020
GBGLOBAL,BE,6.7,6.8,6.7,6.8,6.8,7.05,524,12-FEB-2020
GBGLOBAL,BE,7.4,7.75,7.05,7.05,7.05,7.4,1700,11-FEB-2020
GBGLOBAL,BE,7.4,7.4,7.4,7.4,7.4,7.75,1040,10-FEB-2020
