SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GESHIP,EQ,194.0,202.95,186.45,195.85,201.0,197.35,275856,20-MAR-2020
GESHIP,EQ,195.05,203.2,181.8,197.35,195.05,197.45,132085,19-MAR-2020
GESHIP,EQ,218.9,218.9,189.0,197.45,194.1,215.3,181564,18-MAR-2020
GESHIP,EQ,213.0,222.8,209.15,215.3,218.0,216.05,100271,17-MAR-2020
GESHIP,EQ,220.0,220.0,210.1,216.05,214.0,235.8,95165,16-MAR-2020
GESHIP,EQ,172.0,242.4,162.0,235.8,229.9,202.3,265451,13-MAR-2020
GESHIP,EQ,220.0,220.0,200.0,202.3,203.0,224.65,252139,12-MAR-2020
GESHIP,EQ,215.05,243.85,212.6,224.65,225.0,214.55,185862,11-MAR-2020
GESHIP,EQ,221.0,221.95,214.1,214.55,215.05,224.35,50740,09-MAR-2020
GESHIP,EQ,232.0,232.0,218.4,224.35,223.1,236.1,157676,06-MAR-2020
GESHIP,EQ,242.0,243.55,232.5,236.1,238.0,241.2,388466,05-MAR-2020
GESHIP,EQ,248.0,251.6,240.05,241.2,240.05,248.95,36072,04-MAR-2020
GESHIP,EQ,247.0,250.3,240.3,248.95,248.55,244.55,50258,03-MAR-2020
GESHIP,EQ,243.3,255.55,240.0,244.55,244.05,241.75,46941,02-MAR-2020
GESHIP,EQ,249.5,249.5,236.7,241.75,246.0,255.45,105755,28-FEB-2020
GESHIP,EQ,262.05,262.05,252.0,255.45,256.0,258.55,47800,27-FEB-2020
GESHIP,EQ,257.75,267.0,251.05,258.55,262.95,256.9,324259,26-FEB-2020
GESHIP,EQ,263.2,263.2,255.0,256.9,256.55,261.55,129386,25-FEB-2020
GESHIP,EQ,270.0,270.9,260.05,261.55,260.8,272.9,86040,24-FEB-2020
GESHIP,EQ,275.0,281.0,268.0,272.9,270.65,277.0,156344,20-FEB-2020
GESHIP,EQ,275.7,284.0,274.0,277.0,275.6,274.0,62729,19-FEB-2020
GESHIP,EQ,275.0,276.35,268.7,274.0,274.75,277.9,67745,18-FEB-2020
GESHIP,EQ,287.8,287.8,272.0,277.9,277.0,284.95,136402,17-FEB-2020
GESHIP,EQ,286.0,293.0,281.0,284.95,285.0,285.0,156037,14-FEB-2020
GESHIP,EQ,312.05,312.05,278.95,285.0,285.0,327.7,709482,13-FEB-2020
GESHIP,EQ,320.05,336.9,308.25,327.7,310.75,322.65,753336,12-FEB-2020
GESHIP,EQ,311.95,323.5,311.95,322.65,322.5,315.05,53780,11-FEB-2020
GESHIP,EQ,320.3,323.6,311.0,315.05,315.0,320.3,41959,10-FEB-2020
