SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GICL,SM,22.05,22.05,22.05,22.05,22.05,21.0,6000,20-MAR-2020
GICL,SM,21.0,21.0,21.0,21.0,21.0,20.0,6000,19-MAR-2020
GICL,SM,20.0,20.0,20.0,20.0,20.0,19.15,6000,18-MAR-2020
GICL,SM,19.15,19.15,19.15,19.15,19.15,18.25,6000,16-MAR-2020
GICL,SM,18.25,18.25,18.25,18.25,18.25,17.4,6000,13-MAR-2020
GICL,SM,17.4,17.4,17.4,17.4,17.4,16.6,6000,11-MAR-2020
GICL,SM,16.6,16.6,16.6,16.6,16.6,15.85,6000,09-MAR-2020
GICL,SM,15.85,15.85,15.85,15.85,15.85,15.1,6000,06-MAR-2020
GICL,SM,15.1,15.1,15.1,15.1,15.1,14.5,6000,05-MAR-2020
GICL,SM,14.5,14.5,14.5,14.5,14.5,14.5,36000,04-MAR-2020
GICL,SM,14.2,14.5,14.2,14.5,14.5,14.9,48000,03-MAR-2020
