SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GINNIFILA,EQ,6.1,7.2,5.6,6.55,6.55,6.0,133354,20-MAR-2020
GINNIFILA,EQ,5.2,6.5,5.05,6.0,5.9,5.9,90850,19-MAR-2020
GINNIFILA,EQ,6.85,7.05,5.85,5.9,5.95,6.8,75777,18-MAR-2020
GINNIFILA,EQ,6.8,7.25,6.7,6.8,6.75,7.1,24379,17-MAR-2020
GINNIFILA,EQ,7.4,8.75,6.85,7.1,7.1,7.3,42876,16-MAR-2020
GINNIFILA,EQ,6.05,7.75,5.85,7.3,7.4,7.0,60881,13-MAR-2020
GINNIFILA,EQ,8.1,8.1,6.45,7.0,6.8,8.05,106962,12-MAR-2020
GINNIFILA,EQ,7.65,8.3,7.4,8.05,8.1,7.65,51336,11-MAR-2020
GINNIFILA,EQ,8.2,8.5,7.6,7.65,7.65,8.2,56096,09-MAR-2020
GINNIFILA,EQ,8.3,8.7,8.1,8.2,8.2,8.45,15629,06-MAR-2020
GINNIFILA,EQ,8.3,8.75,8.3,8.45,8.4,8.3,9515,05-MAR-2020
GINNIFILA,EQ,8.5,8.5,8.15,8.3,8.25,8.5,24503,04-MAR-2020
GINNIFILA,EQ,8.9,8.9,8.3,8.5,8.65,8.65,19072,03-MAR-2020
GINNIFILA,EQ,8.5,9.5,8.2,8.65,8.75,8.35,72261,02-MAR-2020
GINNIFILA,EQ,8.7,9.0,8.0,8.35,8.3,8.8,48410,28-FEB-2020
GINNIFILA,EQ,8.5,9.0,8.35,8.8,9.0,8.65,61372,27-FEB-2020
GINNIFILA,EQ,8.8,9.15,8.15,8.65,8.65,8.9,34542,26-FEB-2020
GINNIFILA,EQ,8.75,9.8,8.75,8.9,9.1,8.95,136295,25-FEB-2020
GINNIFILA,EQ,9.3,9.35,8.5,8.95,9.0,9.4,79954,24-FEB-2020
GINNIFILA,EQ,8.15,9.6,8.15,9.4,9.3,8.0,242601,20-FEB-2020
GINNIFILA,EQ,8.2,8.2,7.8,8.0,8.0,7.95,14024,19-FEB-2020
GINNIFILA,EQ,7.9,8.05,7.85,7.95,8.0,7.95,12918,18-FEB-2020
GINNIFILA,EQ,8.3,8.3,7.85,7.95,8.0,8.2,20516,17-FEB-2020
GINNIFILA,EQ,8.0,8.3,8.0,8.2,8.3,8.05,40818,14-FEB-2020
GINNIFILA,EQ,8.2,8.3,7.5,8.05,8.0,8.15,43705,13-FEB-2020
GINNIFILA,EQ,8.35,8.5,8.15,8.15,8.15,8.45,13523,12-FEB-2020
GINNIFILA,EQ,8.95,9.05,8.3,8.45,8.45,8.4,48006,11-FEB-2020
GINNIFILA,EQ,8.85,8.95,8.3,8.4,8.35,8.9,25262,10-FEB-2020
