SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GLAXO,EQ,1202.0,1275.0,1176.05,1224.95,1270.0,1191.5,31931,20-MAR-2020
GLAXO,EQ,1225.0,1225.0,1150.0,1191.5,1203.0,1228.5,57519,19-MAR-2020
GLAXO,EQ,1258.7,1260.0,1207.9,1228.5,1238.0,1246.65,31577,18-MAR-2020
GLAXO,EQ,1240.85,1258.25,1206.95,1246.65,1250.0,1230.85,33608,17-MAR-2020
GLAXO,EQ,1255.0,1255.0,1203.0,1230.85,1237.25,1264.85,33319,16-MAR-2020
GLAXO,EQ,1151.0,1298.0,962.65,1264.85,1292.15,1202.25,61361,13-MAR-2020
GLAXO,EQ,1281.0,1285.0,1160.0,1202.25,1202.0,1297.25,90470,12-MAR-2020
GLAXO,EQ,1317.95,1327.65,1292.05,1297.25,1300.0,1311.0,26647,11-MAR-2020
GLAXO,EQ,1319.0,1319.0,1291.0,1311.0,1306.0,1330.95,41575,09-MAR-2020
GLAXO,EQ,1310.2,1340.0,1293.3,1330.95,1325.25,1314.25,34384,06-MAR-2020
GLAXO,EQ,1324.0,1329.0,1306.5,1314.25,1317.65,1308.55,21513,05-MAR-2020
GLAXO,EQ,1307.0,1325.0,1285.3,1308.55,1307.0,1312.75,48286,04-MAR-2020
GLAXO,EQ,1305.1,1332.7,1290.0,1312.75,1306.5,1303.25,39855,03-MAR-2020
GLAXO,EQ,1310.0,1337.65,1300.0,1303.25,1300.0,1306.0,27735,02-MAR-2020
GLAXO,EQ,1346.5,1347.85,1300.0,1306.0,1310.0,1341.15,50378,28-FEB-2020
GLAXO,EQ,1360.0,1362.0,1325.0,1341.15,1340.0,1355.95,31913,27-FEB-2020
GLAXO,EQ,1364.9,1395.95,1340.0,1355.95,1344.4,1366.15,81279,26-FEB-2020
GLAXO,EQ,1341.0,1369.9,1338.0,1366.15,1365.0,1338.65,53687,25-FEB-2020
GLAXO,EQ,1351.0,1353.0,1325.0,1338.65,1340.0,1344.65,29355,24-FEB-2020
GLAXO,EQ,1341.8,1358.0,1336.0,1344.65,1342.8,1341.35,54312,20-FEB-2020
GLAXO,EQ,1345.0,1362.05,1325.0,1341.35,1341.9,1344.9,51275,19-FEB-2020
GLAXO,EQ,1321.1,1350.0,1319.0,1344.9,1336.0,1317.05,105761,18-FEB-2020
GLAXO,EQ,1334.9,1334.9,1305.0,1317.05,1317.0,1335.95,76166,17-FEB-2020
GLAXO,EQ,1353.8,1358.8,1327.0,1335.95,1330.0,1343.9,79241,14-FEB-2020
GLAXO,EQ,1313.0,1349.95,1300.0,1343.9,1340.55,1306.05,167286,13-FEB-2020
GLAXO,EQ,1333.95,1333.95,1297.4,1306.05,1305.0,1322.5,194152,12-FEB-2020
GLAXO,EQ,1302.0,1354.0,1280.05,1322.5,1321.0,1301.4,154159,11-FEB-2020
GLAXO,EQ,1358.0,1363.6,1296.15,1301.4,1300.0,1356.45,106337,10-FEB-2020
