SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GMRINFRA,EQ,16.35,17.6,15.95,17.15,17.15,16.0,30152986,20-MAR-2020
GMRINFRA,EQ,15.8,16.3,15.05,16.0,16.25,16.2,63292795,19-MAR-2020
GMRINFRA,EQ,16.7,16.9,15.8,16.2,16.0,16.6,31406922,18-MAR-2020
GMRINFRA,EQ,16.65,17.0,16.1,16.6,16.7,16.5,33795616,17-MAR-2020
GMRINFRA,EQ,16.0,16.75,15.85,16.5,16.65,16.7,53205123,16-MAR-2020
GMRINFRA,EQ,14.7,17.3,14.1,16.7,16.7,15.85,58135131,13-MAR-2020
GMRINFRA,EQ,17.7,17.85,15.3,15.85,15.75,18.4,95414301,12-MAR-2020
GMRINFRA,EQ,18.65,19.2,18.1,18.4,18.2,18.65,24446696,11-MAR-2020
GMRINFRA,EQ,18.9,19.1,18.1,18.65,18.6,19.5,39802058,09-MAR-2020
GMRINFRA,EQ,18.5,19.8,18.35,19.5,19.65,20.25,43137596,06-MAR-2020
GMRINFRA,EQ,20.35,20.5,19.8,20.25,20.15,20.1,26902645,05-MAR-2020
GMRINFRA,EQ,20.35,20.65,19.25,20.1,19.9,20.2,43148516,04-MAR-2020
GMRINFRA,EQ,20.6,20.8,19.75,20.2,20.25,20.05,22558297,03-MAR-2020
GMRINFRA,EQ,20.7,21.2,19.6,20.05,20.5,20.0,58358093,02-MAR-2020
GMRINFRA,EQ,21.65,21.7,19.75,20.0,20.1,22.8,62039818,28-FEB-2020
GMRINFRA,EQ,24.5,24.5,22.65,22.8,22.75,24.4,30500097,27-FEB-2020
GMRINFRA,EQ,25.45,25.45,24.2,24.4,24.35,25.55,38602471,26-FEB-2020
GMRINFRA,EQ,25.65,26.45,25.4,25.55,25.45,25.45,63975502,25-FEB-2020
GMRINFRA,EQ,26.0,26.5,24.3,25.45,25.3,23.65,75911140,24-FEB-2020
GMRINFRA,EQ,23.4,23.9,23.0,23.65,23.65,23.05,29860236,20-FEB-2020
GMRINFRA,EQ,22.75,23.2,22.55,23.05,23.0,22.55,12202828,19-FEB-2020
GMRINFRA,EQ,22.95,23.1,22.0,22.55,22.6,22.55,7161469,18-FEB-2020
GMRINFRA,EQ,23.15,23.35,22.4,22.55,22.65,23.1,8594560,17-FEB-2020
GMRINFRA,EQ,23.9,24.0,22.8,23.1,23.15,23.75,23943592,14-FEB-2020
GMRINFRA,EQ,23.05,24.0,22.9,23.75,24.0,22.95,21090815,13-FEB-2020
GMRINFRA,EQ,23.15,23.3,22.75,22.95,22.9,23.05,7911753,12-FEB-2020
GMRINFRA,EQ,23.5,23.7,23.0,23.05,23.15,23.3,6207974,11-FEB-2020
GMRINFRA,EQ,23.35,23.55,23.15,23.3,23.25,23.5,6355470,10-FEB-2020
