SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GODHA,SM,17.05,18.5,17.05,17.75,18.5,17.9,8000,20-MAR-2020
GODHA,SM,17.9,17.9,17.9,17.9,17.9,17.2,4000,18-MAR-2020
GODHA,SM,17.2,17.2,17.2,17.2,17.2,16.45,4000,13-MAR-2020
GODHA,SM,16.45,16.45,16.45,16.45,16.45,17.3,4000,12-MAR-2020
GODHA,SM,17.3,17.3,17.3,17.3,17.3,16.8,4000,09-MAR-2020
GODHA,SM,16.8,16.8,16.8,16.8,16.8,16.5,4000,06-MAR-2020
GODHA,SM,16.8,16.8,16.0,16.5,16.5,16.0,20000,05-MAR-2020
GODHA,SM,16.0,16.0,16.0,16.0,16.0,16.15,4000,03-MAR-2020
GODHA,SM,16.15,16.15,16.15,16.15,16.15,17.0,4000,25-FEB-2020
GODHA,SM,17.0,17.0,17.0,17.0,17.0,16.25,4000,17-FEB-2020
GODHA,SM,16.25,16.25,16.25,16.25,16.25,15.55,4000,14-FEB-2020
