SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GOKULAGRO,EQ,8.3,8.85,8.25,8.35,8.25,8.65,21699,20-MAR-2020
GOKULAGRO,EQ,9.05,9.05,8.6,8.65,8.65,9.05,21037,19-MAR-2020
GOKULAGRO,EQ,9.65,9.7,8.8,9.05,8.85,9.25,23986,18-MAR-2020
GOKULAGRO,EQ,9.4,9.65,9.0,9.25,9.0,9.4,16514,17-MAR-2020
GOKULAGRO,EQ,9.95,9.95,9.05,9.4,9.55,9.5,70081,16-MAR-2020
GOKULAGRO,EQ,9.5,10.2,9.5,9.5,9.5,9.95,8071,13-MAR-2020
GOKULAGRO,EQ,10.05,10.4,9.95,9.95,9.95,10.45,7512,12-MAR-2020
GOKULAGRO,EQ,11.4,11.4,10.45,10.45,10.45,10.95,12249,11-MAR-2020
GOKULAGRO,EQ,12.0,12.0,10.95,10.95,10.95,11.5,6046,09-MAR-2020
GOKULAGRO,EQ,10.9,11.6,10.5,11.5,11.6,11.05,9894,06-MAR-2020
GOKULAGRO,EQ,10.85,11.25,10.75,11.05,11.15,10.85,6693,05-MAR-2020
GOKULAGRO,EQ,11.4,11.85,10.85,10.85,10.85,11.4,12923,04-MAR-2020
GOKULAGRO,EQ,11.6,12.3,11.4,11.4,11.4,11.95,25701,03-MAR-2020
GOKULAGRO,EQ,11.55,12.1,11.55,11.95,12.1,11.55,11644,02-MAR-2020
GOKULAGRO,EQ,12.35,12.4,11.4,11.55,11.8,12.0,8218,28-FEB-2020
GOKULAGRO,EQ,12.6,12.8,12.0,12.0,12.15,12.6,11422,27-FEB-2020
GOKULAGRO,EQ,12.7,12.7,11.6,12.6,12.6,12.1,15173,26-FEB-2020
GOKULAGRO,EQ,12.0,12.8,12.0,12.1,12.7,12.5,17997,25-FEB-2020
GOKULAGRO,EQ,12.8,13.4,12.4,12.5,12.4,12.95,27431,24-FEB-2020
GOKULAGRO,EQ,12.6,13.4,12.35,12.95,12.9,12.85,13747,20-FEB-2020
GOKULAGRO,EQ,13.35,13.7,12.7,12.85,12.7,13.35,8236,19-FEB-2020
GOKULAGRO,EQ,14.1,14.1,13.05,13.35,13.2,13.65,15038,18-FEB-2020
GOKULAGRO,EQ,13.0,13.65,12.6,13.65,13.65,13.0,8949,17-FEB-2020
GOKULAGRO,EQ,14.25,14.25,12.85,13.0,13.0,13.95,17802,14-FEB-2020
GOKULAGRO,EQ,14.0,14.7,13.75,13.95,13.75,15.25,46714,13-FEB-2020
GOKULAGRO,EQ,18.45,18.45,15.15,15.25,15.15,16.8,200126,12-FEB-2020
GOKULAGRO,EQ,16.75,16.8,16.1,16.8,16.8,14.0,45503,11-FEB-2020
GOKULAGRO,EQ,12.2,14.0,12.2,14.0,14.0,11.7,41023,10-FEB-2020
