SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GPPL,EQ,56.7,68.0,56.7,58.45,58.5,57.6,157494,20-MAR-2020
GPPL,EQ,57.0,59.0,55.1,57.6,57.75,59.65,144018,19-MAR-2020
GPPL,EQ,62.5,63.3,58.1,59.65,58.1,62.8,183102,18-MAR-2020
GPPL,EQ,61.95,63.85,56.65,62.8,62.5,61.75,329073,17-MAR-2020
GPPL,EQ,65.95,67.5,60.0,61.75,61.8,66.2,208617,16-MAR-2020
GPPL,EQ,62.05,67.8,55.25,66.2,66.5,65.75,164937,13-MAR-2020
GPPL,EQ,70.0,71.1,61.15,65.75,66.0,73.55,219626,12-MAR-2020
GPPL,EQ,72.3,75.8,68.1,73.55,74.6,72.05,159394,11-MAR-2020
GPPL,EQ,71.55,72.4,70.6,72.05,72.1,73.9,139233,09-MAR-2020
GPPL,EQ,74.65,74.75,71.5,73.9,73.5,75.8,477798,06-MAR-2020
GPPL,EQ,74.5,76.2,73.55,75.8,76.0,73.6,156847,05-MAR-2020
GPPL,EQ,74.85,75.45,72.75,73.6,72.9,73.95,399771,04-MAR-2020
GPPL,EQ,72.55,75.9,72.55,73.95,74.0,72.4,307202,03-MAR-2020
GPPL,EQ,72.0,75.7,71.0,72.4,72.0,71.65,231330,02-MAR-2020
GPPL,EQ,72.85,72.85,69.8,71.65,71.6,72.85,1035807,28-FEB-2020
GPPL,EQ,77.0,77.0,72.45,72.85,73.0,76.45,233480,27-FEB-2020
GPPL,EQ,76.1,78.05,75.05,76.45,76.15,75.8,183270,26-FEB-2020
GPPL,EQ,77.35,78.4,75.0,75.8,75.8,77.3,224577,25-FEB-2020
GPPL,EQ,77.6,80.2,77.15,77.3,77.7,77.7,169546,24-FEB-2020
GPPL,EQ,78.45,79.7,77.2,77.7,77.75,78.4,272947,20-FEB-2020
GPPL,EQ,78.2,79.8,78.2,78.4,78.4,78.1,131856,19-FEB-2020
GPPL,EQ,79.8,80.15,77.55,78.1,78.0,80.0,161843,18-FEB-2020
GPPL,EQ,80.1,81.3,78.6,80.0,80.25,80.95,155905,17-FEB-2020
GPPL,EQ,81.0,82.45,80.1,80.95,80.9,80.95,348969,14-FEB-2020
GPPL,EQ,81.3,82.05,80.4,80.95,81.0,81.9,574978,13-FEB-2020
GPPL,EQ,84.75,84.8,80.25,81.9,82.05,84.1,673090,12-FEB-2020
GPPL,EQ,88.85,88.85,83.4,84.1,84.15,86.7,2749171,11-FEB-2020
GPPL,EQ,90.2,90.3,86.25,86.7,86.8,89.5,186562,10-FEB-2020
