SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GRAVITA,EQ,41.1,42.7,40.5,41.65,41.5,41.1,61655,20-MAR-2020
GRAVITA,EQ,39.1,41.55,38.5,41.1,40.65,39.1,95272,19-MAR-2020
GRAVITA,EQ,43.0,44.1,36.3,39.1,41.0,43.1,88399,18-MAR-2020
GRAVITA,EQ,43.95,44.7,42.0,43.1,43.5,43.5,40044,17-MAR-2020
GRAVITA,EQ,42.2,52.8,42.0,43.5,43.9,45.2,84038,16-MAR-2020
GRAVITA,EQ,44.0,46.0,41.0,45.2,44.7,44.5,146035,13-MAR-2020
GRAVITA,EQ,44.9,46.0,42.0,44.5,45.0,45.0,143326,12-MAR-2020
GRAVITA,EQ,46.7,47.9,45.0,45.0,45.0,45.25,57042,11-MAR-2020
GRAVITA,EQ,45.15,47.0,45.0,45.25,45.1,47.6,43736,09-MAR-2020
GRAVITA,EQ,43.95,49.7,40.6,47.6,49.0,45.15,104025,06-MAR-2020
GRAVITA,EQ,44.05,46.8,44.05,45.15,45.0,44.8,93702,05-MAR-2020
GRAVITA,EQ,49.2,50.1,44.1,44.8,44.4,49.7,168238,04-MAR-2020
GRAVITA,EQ,52.6,53.9,48.1,49.7,49.0,51.85,129796,03-MAR-2020
GRAVITA,EQ,55.35,56.65,50.75,51.85,52.0,54.05,125624,02-MAR-2020
GRAVITA,EQ,57.75,57.75,53.5,54.05,53.5,57.75,121615,28-FEB-2020
GRAVITA,EQ,60.35,61.3,57.0,57.75,57.0,59.5,123793,27-FEB-2020
GRAVITA,EQ,56.9,60.5,54.5,59.5,59.25,57.6,321581,26-FEB-2020
GRAVITA,EQ,64.05,65.0,55.65,57.6,56.45,65.3,225789,25-FEB-2020
GRAVITA,EQ,66.75,67.6,63.9,65.3,64.8,67.2,64696,24-FEB-2020
GRAVITA,EQ,66.95,68.3,65.5,67.2,66.7,66.45,68675,20-FEB-2020
GRAVITA,EQ,66.3,69.7,66.0,66.45,66.65,65.7,96843,19-FEB-2020
GRAVITA,EQ,66.3,67.45,64.5,65.7,65.6,66.5,151150,18-FEB-2020
GRAVITA,EQ,66.4,68.0,66.0,66.5,66.05,65.95,103601,17-FEB-2020
GRAVITA,EQ,66.6,68.3,65.3,65.95,65.55,66.05,180059,14-FEB-2020
GRAVITA,EQ,62.45,66.8,62.1,66.05,66.25,62.0,299398,13-FEB-2020
GRAVITA,EQ,59.05,62.75,59.0,62.0,62.3,58.85,287585,12-FEB-2020
GRAVITA,EQ,59.45,60.5,58.0,58.85,59.5,59.1,57523,11-FEB-2020
GRAVITA,EQ,60.2,60.7,57.85,59.1,59.15,60.15,87339,10-FEB-2020
