SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GREENPOWER,EQ,1.35,1.35,1.3,1.3,1.3,1.35,187823,20-MAR-2020
GREENPOWER,EQ,1.35,1.35,1.35,1.35,1.35,1.4,76241,19-MAR-2020
GREENPOWER,EQ,1.4,1.4,1.4,1.4,1.4,1.45,44140,18-MAR-2020
GREENPOWER,EQ,1.45,1.45,1.45,1.45,1.45,1.5,41463,17-MAR-2020
GREENPOWER,EQ,1.55,1.55,1.5,1.5,1.5,1.55,28546,16-MAR-2020
GREENPOWER,EQ,1.55,1.55,1.55,1.55,1.55,1.6,115680,13-MAR-2020
GREENPOWER,EQ,1.6,1.6,1.6,1.6,1.6,1.65,70181,12-MAR-2020
GREENPOWER,EQ,1.65,1.65,1.65,1.65,1.65,1.7,87080,11-MAR-2020
GREENPOWER,EQ,1.7,1.75,1.65,1.7,1.75,1.7,62883,09-MAR-2020
GREENPOWER,EQ,1.7,1.7,1.7,1.7,1.7,1.75,26460,06-MAR-2020
GREENPOWER,EQ,1.75,1.8,1.75,1.75,1.75,1.8,870483,05-MAR-2020
GREENPOWER,EQ,1.8,1.85,1.8,1.8,1.8,1.85,91773,04-MAR-2020
GREENPOWER,BE,1.9,1.95,1.85,1.85,1.9,1.9,11059,03-MAR-2020
GREENPOWER,BE,1.85,1.9,1.85,1.9,1.9,1.85,249851,02-MAR-2020
GREENPOWER,BE,1.9,1.95,1.85,1.85,1.85,1.9,136836,28-FEB-2020
GREENPOWER,BE,1.85,1.95,1.85,1.9,1.95,1.9,40131,27-FEB-2020
GREENPOWER,BE,1.95,1.95,1.9,1.9,1.9,1.95,40578,26-FEB-2020
GREENPOWER,BE,2.0,2.0,1.9,1.95,1.95,1.95,38282,25-FEB-2020
GREENPOWER,BE,2.05,2.05,1.95,1.95,1.95,2.0,50428,24-FEB-2020
GREENPOWER,BE,1.95,2.0,1.95,2.0,2.0,1.95,24916,20-FEB-2020
GREENPOWER,BE,2.0,2.05,1.9,1.95,2.0,2.0,33923,19-FEB-2020
GREENPOWER,BE,2.1,2.1,1.95,2.0,2.0,2.05,56012,18-FEB-2020
GREENPOWER,BE,2.0,2.1,2.0,2.05,2.1,2.05,27494,17-FEB-2020
GREENPOWER,BE,2.1,2.15,2.0,2.05,2.15,2.1,68013,14-FEB-2020
GREENPOWER,BE,2.1,2.15,2.0,2.1,2.1,2.1,33081,13-FEB-2020
GREENPOWER,BE,2.05,2.15,2.0,2.1,2.15,2.05,111743,12-FEB-2020
GREENPOWER,BE,2.15,2.25,2.05,2.05,2.05,2.15,30480,11-FEB-2020
GREENPOWER,BE,2.1,2.25,2.1,2.15,2.15,2.15,23733,10-FEB-2020
