SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GSKCONS,EQ,8010.0,9100.05,8010.0,8933.25,9075.0,8008.9,75019,20-MAR-2020
GSKCONS,EQ,8215.15,8309.5,7680.0,8008.9,8006.1,8351.1,51587,19-MAR-2020
GSKCONS,EQ,8790.0,8945.8,8280.35,8351.1,8449.9,8718.65,33446,18-MAR-2020
GSKCONS,EQ,8410.0,10100.0,8311.55,8718.65,8693.1,8418.65,38823,17-MAR-2020
GSKCONS,EQ,8830.0,8830.0,8379.9,8418.65,8380.1,8835.6,22456,16-MAR-2020
GSKCONS,EQ,8502.0,9170.2,7201.0,8835.6,8889.0,8901.5,92671,13-MAR-2020
GSKCONS,EQ,9038.0,9199.95,8803.0,8901.5,8959.8,9344.05,26263,12-MAR-2020
GSKCONS,EQ,9235.2,9400.0,9030.05,9344.05,9326.1,9239.45,84108,11-MAR-2020
GSKCONS,EQ,9420.0,9448.6,9201.0,9239.45,9264.0,9531.6,23555,09-MAR-2020
GSKCONS,EQ,9670.0,9744.6,9410.0,9531.6,9450.0,9668.05,25567,06-MAR-2020
GSKCONS,EQ,9550.0,9835.6,9536.55,9668.05,9699.0,9501.6,23080,05-MAR-2020
GSKCONS,EQ,9550.0,9550.0,9381.55,9501.6,9500.0,9467.1,8635,04-MAR-2020
GSKCONS,EQ,9490.0,9558.9,9340.0,9467.1,9490.65,9415.15,17401,03-MAR-2020
GSKCONS,EQ,9444.9,9666.6,9355.3,9415.15,9449.55,9444.9,16029,02-MAR-2020
GSKCONS,EQ,9612.35,9723.7,9370.0,9444.9,9465.5,9812.8,33633,28-FEB-2020
GSKCONS,EQ,9730.0,9868.0,9500.0,9812.8,9790.0,9628.8,37220,27-FEB-2020
GSKCONS,EQ,9610.0,9693.3,9459.0,9628.8,9613.0,9622.65,16475,26-FEB-2020
GSKCONS,EQ,9547.2,9784.1,9510.15,9622.65,9620.0,9541.2,15392,25-FEB-2020
GSKCONS,EQ,9678.2,9730.8,9506.55,9541.2,9568.0,9678.2,15097,24-FEB-2020
GSKCONS,EQ,9863.0,9863.0,9655.5,9678.2,9680.0,9863.1,17019,20-FEB-2020
GSKCONS,EQ,9728.0,9935.0,9654.65,9863.1,9884.0,9623.1,9894,19-FEB-2020
GSKCONS,EQ,9705.0,9721.05,9575.0,9623.1,9620.1,9695.15,9006,18-FEB-2020
GSKCONS,EQ,9715.0,9844.0,9659.8,9695.15,9706.1,9690.25,6181,17-FEB-2020
GSKCONS,EQ,9810.0,9842.15,9655.05,9690.25,9694.0,9773.45,6922,14-FEB-2020
GSKCONS,EQ,9728.0,9795.95,9575.95,9773.45,9780.0,9669.6,17932,13-FEB-2020
GSKCONS,EQ,9240.0,9722.9,9240.0,9669.6,9682.4,9231.4,73039,12-FEB-2020
GSKCONS,EQ,9299.0,9372.0,9213.65,9231.4,9240.0,9291.85,17532,11-FEB-2020
GSKCONS,EQ,9262.4,9372.55,9232.9,9291.85,9269.3,9262.45,9468,10-FEB-2020
