SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
GTL,EQ,1.15,1.2,1.1,1.1,1.1,1.15,124720,20-MAR-2020
GTL,EQ,1.15,1.2,1.15,1.15,1.15,1.2,40966,19-MAR-2020
GTL,EQ,1.25,1.25,1.2,1.2,1.2,1.25,83932,18-MAR-2020
GTL,EQ,1.3,1.35,1.25,1.25,1.25,1.3,83040,17-MAR-2020
GTL,EQ,1.4,1.4,1.3,1.3,1.3,1.35,57416,16-MAR-2020
GTL,EQ,1.3,1.4,1.3,1.35,1.3,1.35,71189,13-MAR-2020
GTL,EQ,1.35,1.4,1.35,1.35,1.4,1.4,96167,12-MAR-2020
GTL,EQ,1.45,1.5,1.4,1.4,1.45,1.45,110525,11-MAR-2020
GTL,EQ,1.55,1.55,1.45,1.45,1.45,1.5,34093,09-MAR-2020
GTL,EQ,1.45,1.5,1.4,1.5,1.5,1.45,105268,06-MAR-2020
GTL,EQ,1.45,1.5,1.45,1.45,1.45,1.45,28942,05-MAR-2020
GTL,EQ,1.5,1.55,1.45,1.45,1.45,1.5,34631,04-MAR-2020
GTL,EQ,1.5,1.55,1.5,1.5,1.5,1.5,32417,03-MAR-2020
GTL,EQ,1.5,1.55,1.45,1.5,1.45,1.5,32845,02-MAR-2020
GTL,EQ,1.5,1.55,1.5,1.5,1.5,1.55,44432,28-FEB-2020
GTL,EQ,1.6,1.65,1.55,1.55,1.55,1.6,155173,27-FEB-2020
GTL,EQ,1.7,1.7,1.6,1.6,1.65,1.65,37235,26-FEB-2020
GTL,EQ,1.65,1.7,1.6,1.65,1.65,1.65,82558,25-FEB-2020
GTL,EQ,1.65,1.65,1.6,1.65,1.65,1.6,35179,24-FEB-2020
GTL,EQ,1.5,1.6,1.5,1.6,1.6,1.55,53585,20-FEB-2020
GTL,EQ,1.6,1.6,1.5,1.55,1.55,1.55,57323,19-FEB-2020
GTL,EQ,1.6,1.65,1.55,1.55,1.55,1.6,56113,18-FEB-2020
GTL,EQ,1.6,1.7,1.6,1.6,1.6,1.65,40653,17-FEB-2020
GTL,EQ,1.65,1.7,1.65,1.65,1.65,1.7,36811,14-FEB-2020
GTL,EQ,1.7,1.75,1.7,1.7,1.7,1.75,42197,13-FEB-2020
GTL,EQ,1.85,1.85,1.75,1.75,1.75,1.8,157851,12-FEB-2020
GTL,EQ,1.8,1.8,1.65,1.8,1.8,1.65,178651,11-FEB-2020
GTL,EQ,1.6,1.65,1.5,1.65,1.65,1.5,144550,10-FEB-2020
