SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
HAL,EQ,564.0,574.6,553.1,565.15,570.0,556.4,50110,20-MAR-2020
HAL,EQ,540.0,581.0,522.0,556.4,556.8,549.75,63255,19-MAR-2020
HAL,EQ,574.0,575.6,540.0,549.75,550.0,553.3,46955,18-MAR-2020
HAL,EQ,572.0,580.0,545.0,553.3,552.0,559.85,85476,17-MAR-2020
HAL,EQ,530.0,620.0,514.25,559.85,572.0,534.2,61568,16-MAR-2020
HAL,EQ,513.5,543.0,472.0,534.2,539.0,538.9,41077,13-MAR-2020
HAL,EQ,575.0,575.0,536.0,538.9,539.0,588.95,33086,12-MAR-2020
HAL,EQ,592.0,605.0,586.05,588.95,588.0,592.15,17175,11-MAR-2020
HAL,EQ,623.75,623.75,585.0,592.15,590.0,621.6,37789,09-MAR-2020
HAL,EQ,637.0,637.0,620.0,621.6,620.0,644.65,23411,06-MAR-2020
HAL,EQ,648.0,664.0,640.55,644.65,643.25,647.25,28994,05-MAR-2020
HAL,EQ,672.0,672.0,638.0,647.25,648.0,671.9,44306,04-MAR-2020
HAL,EQ,684.95,684.95,665.0,671.9,675.0,664.05,22909,03-MAR-2020
HAL,EQ,696.0,708.0,653.0,664.05,658.0,686.05,35013,02-MAR-2020
HAL,EQ,705.0,705.0,683.05,686.05,690.0,726.85,35142,28-FEB-2020
HAL,EQ,704.0,740.0,703.0,726.85,712.35,705.35,77480,27-FEB-2020
HAL,EQ,707.0,720.0,700.4,705.35,701.2,714.2,49062,26-FEB-2020
HAL,EQ,724.1,741.45,709.05,714.2,714.0,712.95,213543,25-FEB-2020
HAL,EQ,737.9,744.7,705.0,712.95,712.0,736.3,84937,24-FEB-2020
HAL,EQ,747.7,755.0,731.25,736.3,738.0,744.35,47457,20-FEB-2020
HAL,EQ,719.85,784.85,717.7,744.35,744.95,704.85,255096,19-FEB-2020
HAL,EQ,709.0,723.7,698.75,704.85,704.55,724.3,30844,18-FEB-2020
HAL,EQ,783.0,784.95,707.0,724.3,707.0,748.75,159329,17-FEB-2020
HAL,EQ,765.0,765.0,745.1,748.75,750.0,761.8,15168,14-FEB-2020
HAL,EQ,777.0,794.0,757.7,761.8,762.2,775.95,125286,13-FEB-2020
HAL,EQ,769.65,781.0,765.05,775.95,774.3,769.55,10666,12-FEB-2020
HAL,EQ,778.0,795.0,765.0,769.55,769.0,775.65,10673,11-FEB-2020
HAL,EQ,777.05,788.0,773.05,775.65,773.05,777.05,16355,10-FEB-2020
