SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
HARITASEAT,EQ,359.95,369.95,338.9,358.0,353.3,352.95,6133,20-MAR-2020
HARITASEAT,EQ,362.05,372.95,311.2,352.95,359.0,373.9,25629,19-MAR-2020
HARITASEAT,EQ,371.05,384.95,367.0,373.9,384.95,380.65,5377,18-MAR-2020
HARITASEAT,EQ,355.05,390.0,355.05,380.65,385.65,368.6,5616,17-MAR-2020
HARITASEAT,EQ,370.3,399.0,360.0,368.6,380.0,397.7,8647,16-MAR-2020
HARITASEAT,EQ,420.0,420.0,323.55,397.7,402.0,398.05,6168,13-MAR-2020
HARITASEAT,EQ,434.0,434.0,385.45,398.05,408.0,445.05,32755,12-MAR-2020
HARITASEAT,EQ,460.0,460.0,432.15,445.05,445.9,438.95,828,11-MAR-2020
HARITASEAT,EQ,447.75,451.7,425.1,438.95,439.0,460.75,13161,09-MAR-2020
HARITASEAT,EQ,480.0,480.0,451.0,460.75,477.9,465.75,3140,06-MAR-2020
HARITASEAT,EQ,470.1,470.1,464.05,465.75,465.15,469.2,1857,05-MAR-2020
HARITASEAT,EQ,473.4,473.4,454.05,469.2,470.0,477.4,6493,04-MAR-2020
HARITASEAT,EQ,454.15,485.0,451.5,477.4,483.7,462.6,6262,03-MAR-2020
HARITASEAT,EQ,431.05,472.15,431.05,462.6,465.0,441.75,8321,02-MAR-2020
HARITASEAT,EQ,483.85,483.85,434.0,441.75,444.0,469.85,6537,28-FEB-2020
HARITASEAT,EQ,468.7,471.0,455.0,469.85,471.0,470.45,2207,27-FEB-2020
HARITASEAT,EQ,474.95,476.0,468.1,470.45,475.9,473.3,718,26-FEB-2020
HARITASEAT,EQ,493.45,493.45,470.0,473.3,471.5,479.95,1119,25-FEB-2020
HARITASEAT,EQ,480.25,487.45,463.05,479.95,475.2,481.65,3767,24-FEB-2020
HARITASEAT,EQ,495.0,495.0,466.25,481.65,481.05,481.6,1775,20-FEB-2020
HARITASEAT,EQ,495.0,495.0,470.35,481.6,480.35,485.3,4961,19-FEB-2020
HARITASEAT,EQ,508.0,508.0,471.3,485.3,488.1,494.1,3537,18-FEB-2020
HARITASEAT,EQ,515.0,515.0,491.0,494.1,491.55,497.1,1319,17-FEB-2020
HARITASEAT,EQ,515.0,515.0,491.55,497.1,499.9,502.95,4108,14-FEB-2020
HARITASEAT,EQ,490.0,514.95,490.0,502.95,514.95,495.3,1714,13-FEB-2020
HARITASEAT,EQ,509.95,509.95,492.5,495.3,496.0,498.2,2207,12-FEB-2020
HARITASEAT,EQ,512.9,512.9,491.25,498.2,499.8,500.25,3134,11-FEB-2020
HARITASEAT,EQ,518.0,518.0,498.0,500.25,504.4,518.2,4327,10-FEB-2020
