SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
HAVELLS,EQ,537.0,554.9,521.35,537.8,537.8,535.2,1910422,20-MAR-2020
HAVELLS,EQ,540.0,559.25,516.25,535.2,540.0,560.0,2727642,19-MAR-2020
HAVELLS,EQ,575.0,579.05,552.2,560.0,558.6,569.85,2536297,18-MAR-2020
HAVELLS,EQ,565.9,585.45,561.0,569.85,570.0,565.85,1352460,17-MAR-2020
HAVELLS,EQ,584.9,607.5,562.75,565.85,566.7,600.5,1397941,16-MAR-2020
HAVELLS,EQ,532.5,623.45,531.95,600.5,600.5,578.7,1997455,13-MAR-2020
HAVELLS,EQ,590.0,596.95,514.65,578.7,583.0,613.2,4202510,12-MAR-2020
HAVELLS,EQ,610.0,618.3,601.75,613.2,612.95,610.2,1335433,11-MAR-2020
HAVELLS,EQ,620.0,626.85,593.3,610.2,612.0,635.05,1919270,09-MAR-2020
HAVELLS,EQ,620.0,637.9,613.0,635.05,632.55,635.3,1574882,06-MAR-2020
HAVELLS,EQ,637.9,639.5,626.7,635.3,632.85,632.95,913452,05-MAR-2020
HAVELLS,EQ,641.0,642.75,619.25,632.95,633.5,638.55,1304147,04-MAR-2020
HAVELLS,EQ,629.0,645.0,618.0,638.55,639.0,627.6,1520126,03-MAR-2020
HAVELLS,EQ,620.05,647.8,620.05,627.6,623.2,613.05,2333347,02-MAR-2020
HAVELLS,EQ,616.0,631.8,610.0,613.05,613.0,638.7,1785458,28-FEB-2020
HAVELLS,EQ,647.0,647.4,632.6,638.7,638.0,646.8,984423,27-FEB-2020
HAVELLS,EQ,640.55,652.7,636.0,646.8,644.6,643.6,1824325,26-FEB-2020
HAVELLS,EQ,634.0,647.65,631.0,643.6,643.05,626.65,3491818,25-FEB-2020
HAVELLS,EQ,619.95,633.95,614.0,626.65,631.0,622.75,1965644,24-FEB-2020
HAVELLS,EQ,621.2,631.35,620.05,622.75,623.1,618.55,1229373,20-FEB-2020
HAVELLS,EQ,606.8,621.0,604.6,618.55,621.0,600.5,1864746,19-FEB-2020
HAVELLS,EQ,602.5,603.45,589.0,600.5,602.0,602.75,2800102,18-FEB-2020
HAVELLS,EQ,613.0,613.95,600.0,602.75,603.0,611.65,1035220,17-FEB-2020
HAVELLS,EQ,618.1,623.5,608.85,611.65,612.75,617.55,1009884,14-FEB-2020
HAVELLS,EQ,617.65,621.95,612.15,617.55,617.0,617.65,897770,13-FEB-2020
HAVELLS,EQ,622.75,622.75,611.6,617.65,617.9,618.85,1487002,12-FEB-2020
HAVELLS,EQ,624.0,635.0,615.1,618.85,618.1,622.4,975440,11-FEB-2020
HAVELLS,EQ,627.9,629.0,616.1,622.4,620.95,630.0,601397,10-FEB-2020
