SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
HEIDELBERG,EQ,141.5,159.7,140.1,151.9,150.0,141.6,811261,20-MAR-2020
HEIDELBERG,EQ,143.9,147.5,129.3,141.6,141.95,147.55,778881,19-MAR-2020
HEIDELBERG,EQ,148.75,149.8,144.0,147.55,147.4,147.45,300644,18-MAR-2020
HEIDELBERG,EQ,152.05,155.0,145.5,147.45,147.5,153.55,580448,17-MAR-2020
HEIDELBERG,EQ,158.0,159.55,149.8,153.55,154.0,163.75,589363,16-MAR-2020
HEIDELBERG,EQ,140.4,167.0,132.8,163.75,162.1,160.1,605033,13-MAR-2020
HEIDELBERG,EQ,168.1,168.7,158.45,160.1,159.05,172.35,605874,12-MAR-2020
HEIDELBERG,EQ,175.0,177.75,171.6,172.35,172.4,175.95,253289,11-MAR-2020
HEIDELBERG,EQ,179.0,179.4,172.45,175.95,177.0,183.1,350285,09-MAR-2020
HEIDELBERG,EQ,181.35,184.95,178.1,183.1,183.0,185.6,345081,06-MAR-2020
HEIDELBERG,EQ,193.0,193.0,184.3,185.6,186.0,190.45,343518,05-MAR-2020
HEIDELBERG,EQ,198.65,198.65,189.0,190.45,191.95,197.2,456279,04-MAR-2020
HEIDELBERG,EQ,200.0,207.0,194.8,197.2,197.4,199.75,334092,03-MAR-2020
HEIDELBERG,EQ,203.1,205.0,197.85,199.75,199.7,200.9,492446,02-MAR-2020
HEIDELBERG,EQ,204.0,207.5,197.5,200.9,202.0,213.3,695726,28-FEB-2020
HEIDELBERG,EQ,205.0,217.75,197.15,213.3,209.95,203.4,1081028,27-FEB-2020
HEIDELBERG,EQ,197.2,212.7,197.2,203.4,204.5,199.35,949547,26-FEB-2020
HEIDELBERG,EQ,199.35,202.95,196.05,199.35,199.25,200.95,524359,25-FEB-2020
HEIDELBERG,EQ,198.8,201.9,195.65,200.95,201.0,200.0,223835,24-FEB-2020
HEIDELBERG,EQ,201.7,201.7,199.15,200.0,200.15,201.85,250027,20-FEB-2020
HEIDELBERG,EQ,200.7,205.7,198.05,201.85,200.5,199.0,385581,19-FEB-2020
HEIDELBERG,EQ,195.1,201.7,195.1,199.0,199.4,196.9,310038,18-FEB-2020
HEIDELBERG,EQ,197.9,197.9,193.7,196.9,197.3,197.05,170406,17-FEB-2020
HEIDELBERG,EQ,197.9,200.0,196.15,197.05,196.3,197.0,191283,14-FEB-2020
HEIDELBERG,EQ,198.0,198.95,196.0,197.0,196.6,198.3,453621,13-FEB-2020
HEIDELBERG,EQ,204.0,204.0,195.0,198.3,199.0,204.75,440831,12-FEB-2020
HEIDELBERG,EQ,207.8,210.0,202.5,204.75,205.0,206.8,407010,11-FEB-2020
HEIDELBERG,EQ,210.1,216.25,205.0,206.8,206.1,205.3,1149853,10-FEB-2020
