SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
HIKAL,EQ,77.4,80.9,75.2,77.4,77.55,74.8,304103,20-MAR-2020
HIKAL,EQ,70.1,81.7,68.1,74.8,73.2,75.25,317946,19-MAR-2020
HIKAL,EQ,88.8,89.0,74.6,75.25,75.9,85.15,243259,18-MAR-2020
HIKAL,EQ,86.15,89.6,84.05,85.15,85.0,86.85,132642,17-MAR-2020
HIKAL,EQ,86.0,90.75,80.1,86.85,87.5,87.75,188847,16-MAR-2020
HIKAL,EQ,78.1,95.05,72.45,87.75,87.0,88.75,275683,13-MAR-2020
HIKAL,EQ,94.9,95.75,87.1,88.75,89.05,99.75,360014,12-MAR-2020
HIKAL,EQ,107.1,112.5,97.1,99.75,100.5,108.3,293536,11-MAR-2020
HIKAL,EQ,111.65,112.0,102.75,108.3,108.45,115.7,384388,09-MAR-2020
HIKAL,EQ,112.6,118.5,112.6,115.7,116.0,121.95,175321,06-MAR-2020
HIKAL,EQ,121.05,123.0,119.1,121.95,121.2,120.2,151647,05-MAR-2020
HIKAL,EQ,123.0,124.0,114.1,120.2,121.35,123.3,201438,04-MAR-2020
HIKAL,EQ,124.3,127.85,121.35,123.3,124.0,123.3,156167,03-MAR-2020
HIKAL,EQ,131.15,132.55,122.05,123.3,122.75,129.75,168618,02-MAR-2020
HIKAL,EQ,128.0,132.95,123.2,129.75,131.9,133.65,428875,28-FEB-2020
HIKAL,EQ,135.0,136.4,129.95,133.65,130.6,133.9,442610,27-FEB-2020
HIKAL,EQ,129.0,136.5,127.45,133.9,134.75,130.35,799942,26-FEB-2020
HIKAL,EQ,133.0,133.85,128.8,130.35,129.5,131.4,584576,25-FEB-2020
HIKAL,EQ,123.05,133.4,123.05,131.4,133.0,126.1,695924,24-FEB-2020
HIKAL,EQ,123.45,127.5,121.85,126.1,126.0,123.85,256073,20-FEB-2020
HIKAL,EQ,122.0,124.85,121.4,123.85,123.95,121.05,181891,19-FEB-2020
HIKAL,EQ,117.9,121.85,116.85,121.05,121.0,118.15,181440,18-FEB-2020
HIKAL,EQ,121.0,122.8,117.15,118.15,117.8,122.1,170064,17-FEB-2020
HIKAL,EQ,125.95,126.9,121.35,122.1,121.9,125.7,200597,14-FEB-2020
HIKAL,EQ,127.65,129.9,125.0,125.7,125.4,126.45,190414,13-FEB-2020
HIKAL,EQ,128.0,129.6,125.55,126.45,126.2,128.0,153670,12-FEB-2020
HIKAL,EQ,131.5,131.5,125.2,128.0,128.0,129.55,239521,11-FEB-2020
HIKAL,EQ,132.9,132.9,128.5,129.55,129.25,131.85,156594,10-FEB-2020
