SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
HIL,EQ,684.95,710.95,675.0,679.85,675.75,673.4,12362,20-MAR-2020
HIL,EQ,655.0,689.0,630.0,673.4,662.0,678.55,8241,19-MAR-2020
HIL,EQ,753.05,762.8,662.0,678.55,665.0,751.05,10786,18-MAR-2020
HIL,EQ,738.0,794.8,738.0,751.05,751.0,773.15,10161,17-MAR-2020
HIL,EQ,829.95,829.95,751.5,773.15,780.0,838.0,14585,16-MAR-2020
HIL,EQ,710.0,884.8,655.0,838.0,850.0,811.75,25035,13-MAR-2020
HIL,EQ,902.0,919.05,795.0,811.75,810.0,929.2,18681,12-MAR-2020
HIL,EQ,930.0,945.0,922.2,929.2,925.1,939.6,7749,11-MAR-2020
HIL,EQ,958.5,979.8,904.25,939.6,941.3,958.5,13517,09-MAR-2020
HIL,EQ,999.9,999.9,951.0,958.5,960.1,1010.95,13843,06-MAR-2020
HIL,EQ,1021.9,1045.15,1000.0,1010.95,1005.35,1011.75,5595,05-MAR-2020
HIL,EQ,1037.0,1048.65,990.1,1011.75,1019.0,1047.95,8801,04-MAR-2020
HIL,EQ,1069.0,1069.0,1037.7,1047.95,1054.0,1046.0,5049,03-MAR-2020
HIL,EQ,1055.0,1079.9,1030.05,1046.0,1053.0,1049.7,6860,02-MAR-2020
HIL,EQ,1070.05,1070.05,1031.0,1049.7,1051.5,1080.45,12833,28-FEB-2020
HIL,EQ,1070.1,1085.0,1066.95,1080.45,1080.0,1073.85,7920,27-FEB-2020
HIL,EQ,1084.05,1088.25,1070.0,1073.85,1070.2,1084.05,7794,26-FEB-2020
HIL,EQ,1085.0,1100.75,1075.15,1084.05,1080.4,1102.75,12320,25-FEB-2020
HIL,EQ,1149.0,1170.0,1095.5,1102.75,1103.65,1135.15,16568,24-FEB-2020
HIL,EQ,1144.25,1170.4,1125.0,1135.15,1125.0,1148.3,17072,20-FEB-2020
HIL,EQ,1117.3,1169.9,1117.3,1148.3,1140.05,1117.45,10845,19-FEB-2020
HIL,EQ,1139.85,1139.85,1110.7,1117.45,1119.95,1140.0,13193,18-FEB-2020
HIL,EQ,1183.0,1197.2,1133.2,1140.0,1140.0,1187.6,11998,17-FEB-2020
HIL,EQ,1228.2,1229.8,1175.0,1187.6,1193.0,1255.0,18963,14-FEB-2020
HIL,EQ,1253.95,1288.0,1240.0,1255.0,1248.6,1253.95,6987,13-FEB-2020
HIL,EQ,1274.85,1274.85,1236.95,1253.95,1252.55,1251.65,4462,12-FEB-2020
HIL,EQ,1313.5,1325.0,1226.6,1251.65,1251.1,1295.75,11250,11-FEB-2020
HIL,EQ,1293.0,1326.55,1286.8,1295.75,1286.8,1309.75,8961,10-FEB-2020
