SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
HINDNATGLS,EQ,26.95,28.3,26.95,27.65,27.05,28.35,95,20-MAR-2020
HINDNATGLS,EQ,31.15,31.15,28.35,28.35,28.35,29.8,841,19-MAR-2020
HINDNATGLS,EQ,31.0,31.0,29.8,29.8,29.8,31.35,386,18-MAR-2020
HINDNATGLS,EQ,31.35,31.45,31.35,31.35,31.35,33.0,2504,17-MAR-2020
HINDNATGLS,EQ,31.45,33.05,31.45,33.0,33.0,33.1,207,16-MAR-2020
HINDNATGLS,EQ,33.75,33.75,32.15,33.1,33.1,33.8,856,13-MAR-2020
HINDNATGLS,EQ,32.05,34.6,32.0,33.8,33.8,33.65,1589,12-MAR-2020
HINDNATGLS,EQ,33.6,33.65,31.05,33.65,33.65,32.05,2274,11-MAR-2020
HINDNATGLS,EQ,31.45,33.4,31.45,32.05,32.0,33.1,2360,09-MAR-2020
HINDNATGLS,EQ,30.75,33.4,30.75,33.1,33.15,32.3,2817,06-MAR-2020
HINDNATGLS,EQ,32.3,32.3,32.3,32.3,32.3,34.0,339,05-MAR-2020
HINDNATGLS,EQ,34.85,34.85,33.05,34.0,34.0,33.55,1639,04-MAR-2020
HINDNATGLS,BE,31.85,34.3,31.85,33.55,33.5,33.5,2101,03-MAR-2020
HINDNATGLS,BE,32.05,33.8,32.05,33.5,33.5,32.2,2661,02-MAR-2020
HINDNATGLS,BE,32.1,34.7,32.0,32.2,32.0,33.5,920,28-FEB-2020
HINDNATGLS,BE,35.5,35.5,33.5,33.5,33.5,35.25,695,27-FEB-2020
HINDNATGLS,BE,33.05,35.25,33.0,35.25,35.25,34.0,5165,26-FEB-2020
HINDNATGLS,BE,35.0,35.0,34.0,34.0,34.0,35.0,375,25-FEB-2020
HINDNATGLS,BE,36.45,36.45,35.0,35.0,35.0,36.2,414,20-FEB-2020
HINDNATGLS,BE,34.2,36.4,34.2,36.2,36.2,35.5,162,19-FEB-2020
HINDNATGLS,BE,36.6,36.6,35.5,35.5,35.5,36.75,1010,18-FEB-2020
HINDNATGLS,BE,34.25,36.85,34.25,36.75,36.75,36.05,620,17-FEB-2020
HINDNATGLS,BE,35.15,36.9,35.15,36.05,36.05,36.9,120,14-FEB-2020
HINDNATGLS,BE,35.15,36.9,35.15,36.9,36.9,37.0,1904,13-FEB-2020
HINDNATGLS,BE,37.8,37.8,35.1,37.0,37.0,36.5,2730,12-FEB-2020
HINDNATGLS,BE,36.6,37.4,35.2,36.5,36.5,35.65,2974,10-FEB-2020
