SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
HINDOILEXP,EQ,37.5,40.55,36.2,39.55,39.7,37.0,354399,20-MAR-2020
HINDOILEXP,EQ,37.7,40.8,35.75,37.0,36.0,38.95,231827,19-MAR-2020
HINDOILEXP,EQ,41.75,41.75,38.0,38.95,39.25,40.35,280621,18-MAR-2020
HINDOILEXP,EQ,42.0,42.0,39.1,40.35,40.2,40.5,465903,17-MAR-2020
HINDOILEXP,EQ,37.7,42.35,37.7,40.5,41.4,41.85,1528131,16-MAR-2020
HINDOILEXP,EQ,41.85,44.0,41.85,41.85,41.85,46.45,1150537,13-MAR-2020
HINDOILEXP,EQ,49.0,49.0,46.45,46.45,46.45,51.6,79571,12-MAR-2020
HINDOILEXP,EQ,59.85,59.85,50.85,51.6,51.05,56.8,425725,11-MAR-2020
HINDOILEXP,EQ,64.8,64.8,54.6,56.8,56.55,68.2,948382,09-MAR-2020
HINDOILEXP,EQ,70.0,70.2,67.0,68.2,67.7,72.8,355481,06-MAR-2020
HINDOILEXP,EQ,74.0,74.05,72.05,72.8,72.25,72.55,117586,05-MAR-2020
HINDOILEXP,EQ,74.7,75.25,70.7,72.55,73.75,74.7,298547,04-MAR-2020
HINDOILEXP,EQ,75.95,77.25,74.0,74.7,74.55,75.65,306859,03-MAR-2020
HINDOILEXP,EQ,74.75,77.05,74.75,75.65,75.75,74.75,255384,02-MAR-2020
HINDOILEXP,EQ,77.0,77.85,74.3,74.75,75.05,79.75,467300,28-FEB-2020
HINDOILEXP,EQ,83.5,83.5,78.4,79.75,79.45,83.8,344101,27-FEB-2020
HINDOILEXP,EQ,88.0,88.65,83.0,83.8,83.0,88.7,140540,26-FEB-2020
HINDOILEXP,EQ,90.15,91.0,88.25,88.7,88.5,90.75,170055,25-FEB-2020
HINDOILEXP,EQ,90.0,91.7,89.9,90.75,90.5,90.9,765360,24-FEB-2020
HINDOILEXP,EQ,90.9,92.75,90.5,90.9,90.8,90.8,117087,20-FEB-2020
HINDOILEXP,EQ,90.05,93.0,90.05,90.8,90.55,90.4,152023,19-FEB-2020
HINDOILEXP,EQ,92.5,92.5,89.75,90.4,90.0,92.5,111335,18-FEB-2020
HINDOILEXP,EQ,93.05,96.2,92.05,92.5,92.3,93.0,229161,17-FEB-2020
HINDOILEXP,EQ,97.0,97.0,92.2,93.0,93.05,96.95,273592,14-FEB-2020
HINDOILEXP,EQ,95.0,98.2,92.6,96.95,97.45,95.3,562823,13-FEB-2020
HINDOILEXP,EQ,96.25,98.6,95.0,95.3,95.45,96.75,131431,12-FEB-2020
HINDOILEXP,EQ,97.1,97.45,96.0,96.75,96.6,96.6,64854,11-FEB-2020
HINDOILEXP,EQ,96.45,98.1,95.4,96.6,96.65,96.4,92743,10-FEB-2020
