SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
HSCL,EQ,33.85,36.15,32.5,34.75,34.4,33.5,717389,20-MAR-2020
HSCL,EQ,34.8,34.8,32.0,33.5,33.4,35.35,857331,19-MAR-2020
HSCL,EQ,38.5,38.6,35.05,35.35,35.4,37.75,614120,18-MAR-2020
HSCL,EQ,39.15,39.95,37.0,37.75,37.25,39.15,481164,17-MAR-2020
HSCL,EQ,39.0,41.4,37.1,39.15,38.9,39.55,616502,16-MAR-2020
HSCL,EQ,36.6,42.8,33.0,39.55,39.25,40.75,1029815,13-MAR-2020
HSCL,EQ,37.0,44.7,35.0,40.75,43.25,40.65,1703517,12-MAR-2020
HSCL,EQ,40.9,41.8,39.35,40.65,40.2,40.3,680625,11-MAR-2020
HSCL,EQ,43.0,43.8,39.05,40.3,40.95,44.5,1357372,09-MAR-2020
HSCL,EQ,45.0,46.15,43.65,44.5,44.9,47.4,695072,06-MAR-2020
HSCL,EQ,48.25,48.5,46.8,47.4,47.05,47.45,510660,05-MAR-2020
HSCL,EQ,48.9,49.75,46.1,47.45,47.55,48.15,807365,04-MAR-2020
HSCL,EQ,50.95,51.45,47.6,48.15,48.55,48.95,790745,03-MAR-2020
HSCL,EQ,51.0,52.35,48.0,48.95,48.75,49.25,645165,02-MAR-2020
HSCL,EQ,51.95,52.85,48.5,49.25,49.1,54.65,1083852,28-FEB-2020
HSCL,EQ,56.3,56.85,54.0,54.65,54.0,55.8,693860,27-FEB-2020
HSCL,EQ,52.6,57.7,52.15,55.8,55.75,53.45,2679291,26-FEB-2020
HSCL,EQ,51.55,54.65,50.3,53.45,53.65,51.2,1415196,25-FEB-2020
HSCL,EQ,52.95,53.5,50.7,51.2,51.8,54.1,463094,24-FEB-2020
HSCL,EQ,52.65,54.6,52.2,54.1,53.75,52.9,627545,20-FEB-2020
HSCL,EQ,51.7,53.7,51.5,52.9,52.85,51.2,608058,19-FEB-2020
HSCL,EQ,52.0,52.1,49.7,51.2,51.1,51.9,829778,18-FEB-2020
HSCL,EQ,55.0,56.2,51.6,51.9,51.7,55.25,808002,17-FEB-2020
HSCL,EQ,55.0,57.0,55.0,55.25,55.1,58.75,1457588,14-FEB-2020
HSCL,EQ,60.15,60.15,57.55,58.75,58.55,59.65,576210,13-FEB-2020
HSCL,EQ,61.75,62.65,59.1,59.65,59.8,61.6,613387,12-FEB-2020
HSCL,EQ,63.65,63.9,61.25,61.6,61.4,63.45,443402,11-FEB-2020
HSCL,EQ,62.35,65.2,61.65,63.45,63.45,62.0,847272,10-FEB-2020
