SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
HUDCO,EQ,21.65,22.4,21.15,21.65,21.7,21.4,2413094,20-MAR-2020
HUDCO,N2,1153.0,1160.0,1141.01,1143.54,1143.5,1143.91,953,20-MAR-2020
HUDCO,N3,1040.5,1048.0,1040.5,1045.63,1045.0,1046.99,5823,20-MAR-2020
HUDCO,N4,1045.0,1075.0,1042.01,1042.01,1042.01,1041.01,1240,20-MAR-2020
HUDCO,N5,1109.0,1109.0,1100.05,1100.05,1100.05,1100.0,250,20-MAR-2020
HUDCO,N7,1090.0,1090.0,1075.0,1090.0,1090.0,1124.99,353,20-MAR-2020
HUDCO,N9,1146.0,1149.0,1146.0,1149.0,1149.0,1142.33,196,20-MAR-2020
HUDCO,ND,1202.25,1210.25,1202.25,1205.25,1205.25,1204.72,2549,20-MAR-2020
HUDCO,NE,1300.0,1329.99,1281.0,1299.16,1299.9,1286.07,3581,20-MAR-2020
HUDCO,EQ,20.6,22.25,20.6,21.4,21.4,22.45,1299521,19-MAR-2020
HUDCO,N2,1152.5,1169.9,1141.0,1143.91,1141.0,1152.47,6803,19-MAR-2020
HUDCO,N3,1040.5,1046.99,1040.1,1046.99,1046.99,1046.0,1814,19-MAR-2020
HUDCO,N5,1111.6,1111.6,905.15,1100.0,1100.0,1100.01,2074,19-MAR-2020
HUDCO,N7,1150.0,1150.0,1124.99,1124.99,1124.99,1297.0,2,19-MAR-2020
HUDCO,N8,1169.0,1169.0,1146.0,1155.96,1162.0,1159.1,545,19-MAR-2020
HUDCO,N9,1150.0,1150.0,1140.1,1142.33,1144.0,1146.0,1965,19-MAR-2020
HUDCO,ND,1212.0,1212.0,1200.0,1204.72,1205.0,1211.76,1994,19-MAR-2020
HUDCO,NE,1294.0,1295.0,1280.5,1286.07,1286.5,1296.9,10887,19-MAR-2020
HUDCO,EQ,23.0,23.45,21.95,22.45,22.45,22.5,1285974,18-MAR-2020
HUDCO,N2,1185.0,1190.0,1152.21,1152.47,1152.45,1168.47,15431,18-MAR-2020
HUDCO,N3,1045.0,1046.0,1036.0,1046.0,1046.0,1044.0,1293,18-MAR-2020
HUDCO,N4,1042.0,1042.0,1041.01,1041.01,1041.01,1044.0,17,18-MAR-2020
HUDCO,N5,1111.7,1113.0,1100.01,1100.01,1100.01,1113.35,1550,18-MAR-2020
