SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ICICI500,EQ,119.0,120.95,110.0,117.42,116.0,113.62,327997,20-MAR-2020
ICICI500,EQ,115.02,135.0,109.0,113.62,114.0,127.3,53434,19-MAR-2020
ICICI500,EQ,139.8,142.4,119.7,127.3,129.0,130.62,4168,18-MAR-2020
ICICI500,EQ,125.0,137.9,122.5,130.62,130.0,120.73,52552,17-MAR-2020
ICICI500,EQ,133.0,144.65,120.0,120.73,120.0,132.71,73440,16-MAR-2020
ICICI500,EQ,117.0,135.9,115.0,132.71,133.0,127.81,51392,13-MAR-2020
ICICI500,EQ,139.0,141.0,127.0,127.81,128.5,139.8,94079,12-MAR-2020
ICICI500,EQ,140.75,145.0,139.21,139.8,139.8,140.37,155055,11-MAR-2020
ICICI500,EQ,148.95,148.95,138.25,140.37,139.75,146.61,17271,09-MAR-2020
ICICI500,EQ,150.0,156.88,145.5,146.61,151.0,154.5,26651,06-MAR-2020
ICICI500,EQ,150.19,159.15,150.19,154.5,150.6,149.99,9801,05-MAR-2020
ICICI500,EQ,151.81,155.9,147.5,149.99,147.5,151.81,41129,04-MAR-2020
ICICI500,EQ,151.05,151.82,148.7,151.81,151.82,149.7,348268,03-MAR-2020
ICICI500,EQ,152.04,152.99,147.27,149.7,148.25,150.04,143693,02-MAR-2020
ICICI500,EQ,159.0,179.0,149.56,150.04,156.22,155.24,61669,28-FEB-2020
ICICI500,EQ,154.71,156.09,151.1,155.24,155.22,155.26,18649,27-FEB-2020
ICICI500,EQ,156.69,157.2,155.13,155.26,155.13,156.74,1054,26-FEB-2020
ICICI500,EQ,158.33,158.66,156.72,156.74,157.0,158.33,6782,25-FEB-2020
ICICI500,EQ,159.86,160.3,157.84,158.33,158.28,160.94,5127,24-FEB-2020
ICICI500,EQ,160.75,162.47,160.56,160.94,160.56,161.6,2011,20-FEB-2020
ICICI500,EQ,160.3,161.7,159.74,161.6,161.7,159.76,3807,19-FEB-2020
ICICI500,EQ,150.8,159.79,145.0,159.76,159.79,160.43,1855,18-FEB-2020
ICICI500,EQ,160.83,161.1,160.37,160.43,160.37,161.67,18940,17-FEB-2020
ICICI500,EQ,162.15,162.96,161.2,161.67,161.55,162.43,9908,14-FEB-2020
ICICI500,EQ,162.59,162.59,161.5,162.43,162.43,162.74,21083,13-FEB-2020
ICICI500,EQ,162.06,163.0,161.91,162.74,162.82,162.0,19577,12-FEB-2020
ICICI500,EQ,162.69,162.69,161.54,162.0,162.0,161.29,17030,11-FEB-2020
ICICI500,EQ,161.04,161.35,160.19,161.29,161.35,162.16,1230,10-FEB-2020
