SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ICICINF100,EQ,110.0,110.55,110.0,110.5,110.5,116.5,179,20-MAR-2020
ICICINF100,EQ,115.0,116.5,115.0,116.5,116.5,119.67,459,19-MAR-2020
ICICINF100,EQ,116.0,119.75,116.0,119.67,119.7,120.39,4008,18-MAR-2020
ICICINF100,EQ,117.0,129.0,117.0,120.39,119.4,123.81,6136,17-MAR-2020
ICICINF100,EQ,112.1,124.7,112.0,123.81,124.7,125.51,12143,16-MAR-2020
ICICINF100,EQ,105.0,126.5,102.2,125.51,122.0,105.76,4394,13-MAR-2020
ICICINF100,EQ,112.5,129.0,103.52,105.76,105.98,127.73,62161,12-MAR-2020
ICICINF100,EQ,129.0,132.5,113.8,127.73,130.0,117.92,12963,11-MAR-2020
ICICINF100,EQ,123.0,128.0,111.5,117.92,115.0,126.84,23787,09-MAR-2020
ICICINF100,EQ,122.0,128.15,119.5,126.84,128.15,122.77,2956,06-MAR-2020
ICICINF100,EQ,122.75,123.72,121.59,122.77,122.44,122.1,2212,05-MAR-2020
ICICINF100,EQ,123.7,125.5,120.5,122.1,122.34,122.93,520,04-MAR-2020
ICICINF100,EQ,126.0,126.5,120.45,122.93,122.07,121.01,3438,03-MAR-2020
ICICINF100,EQ,122.01,123.93,120.08,121.01,121.17,121.8,4282,02-MAR-2020
ICICINF100,EQ,126.51,126.51,121.51,121.8,122.08,126.09,10180,28-FEB-2020
ICICINF100,EQ,126.72,126.72,125.05,126.09,126.04,126.71,1497,27-FEB-2020
ICICINF100,EQ,130.0,130.0,126.0,126.71,126.53,128.01,2330,26-FEB-2020
ICICINF100,EQ,128.54,134.0,127.82,128.01,128.02,128.54,1621,25-FEB-2020
ICICINF100,EQ,130.25,130.25,128.25,128.54,128.46,131.0,2664,24-FEB-2020
ICICINF100,EQ,131.41,131.67,131.0,131.0,131.0,130.8,317,20-FEB-2020
ICICINF100,EQ,129.0,131.31,129.0,130.8,130.79,129.63,993,19-FEB-2020
ICICINF100,EQ,129.84,129.88,129.0,129.63,129.65,130.48,2748,18-FEB-2020
ICICINF100,EQ,133.0,133.0,129.98,130.48,130.52,134.03,3693,17-FEB-2020
ICICINF100,EQ,132.23,136.0,130.78,134.03,131.01,132.0,94305,14-FEB-2020
ICICINF100,EQ,131.4,132.0,131.02,132.0,132.0,131.63,1394,13-FEB-2020
ICICINF100,EQ,131.46,132.3,131.46,131.63,131.51,131.4,779,12-FEB-2020
ICICINF100,EQ,130.01,131.75,130.01,131.4,131.4,130.96,444,11-FEB-2020
ICICINF100,EQ,131.0,131.0,130.0,130.96,130.96,131.42,2437,10-FEB-2020
