SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ICICINXT50,EQ,25.4,25.4,20.5,22.04,22.94,25.4,1006023,20-MAR-2020
ICICINXT50,EQ,25.88,25.88,23.6,25.4,25.48,25.88,14462,19-MAR-2020
ICICINXT50,EQ,25.11,26.25,24.9,25.88,26.05,25.11,20763,18-MAR-2020
ICICINXT50,EQ,20.0,26.23,20.0,25.11,25.5,24.67,25687,17-MAR-2020
ICICINXT50,EQ,24.22,25.55,22.22,24.67,25.3,24.22,38674,16-MAR-2020
ICICINXT50,EQ,24.0,29.97,21.0,24.22,24.98,23.4,205411,13-MAR-2020
ICICINXT50,EQ,21.77,26.4,21.77,23.4,23.9,25.28,337474,12-MAR-2020
ICICINXT50,EQ,21.77,27.2,21.77,25.28,25.0,25.57,92583,11-MAR-2020
ICICINXT50,EQ,26.0,27.4,23.0,25.57,25.51,26.67,42274,09-MAR-2020
ICICINXT50,EQ,27.26,27.97,24.5,26.67,26.72,27.26,38627,06-MAR-2020
ICICINXT50,EQ,27.0,27.75,26.25,27.26,27.28,27.05,7320,05-MAR-2020
ICICINXT50,EQ,26.07,27.9,26.07,27.05,27.05,27.28,16930,04-MAR-2020
ICICINXT50,EQ,26.82,28.0,26.79,27.28,27.3,26.82,10998,03-MAR-2020
ICICINXT50,EQ,26.85,27.8,26.0,26.82,26.79,26.85,34623,02-MAR-2020
ICICINXT50,EQ,27.0,27.5,26.1,26.85,26.76,27.79,48746,28-FEB-2020
ICICINXT50,EQ,27.78,28.44,27.39,27.79,27.81,27.78,32660,27-FEB-2020
ICICINXT50,EQ,28.0,29.25,27.65,27.78,27.85,28.23,674426,26-FEB-2020
ICICINXT50,EQ,28.0,29.77,27.65,28.23,28.24,28.4,41357,25-FEB-2020
ICICINXT50,EQ,28.0,29.5,28.0,28.4,28.48,29.04,27014,24-FEB-2020
ICICINXT50,EQ,28.0,29.31,27.95,29.04,29.0,28.93,11241,20-FEB-2020
ICICINXT50,EQ,28.0,29.02,27.5,28.93,28.9,28.4,18224,19-FEB-2020
ICICINXT50,EQ,28.51,29.25,27.96,28.4,28.46,28.51,25458,18-FEB-2020
ICICINXT50,EQ,28.86,29.77,28.0,28.51,28.53,28.86,20282,17-FEB-2020
ICICINXT50,EQ,30.5,30.5,28.74,28.86,28.8,29.14,103346,14-FEB-2020
ICICINXT50,EQ,29.03,30.77,28.95,29.14,29.15,29.03,884474,13-FEB-2020
ICICINXT50,EQ,28.51,29.33,28.51,29.03,29.05,29.05,38732,12-FEB-2020
ICICINXT50,EQ,28.0,29.5,28.0,29.05,29.18,29.18,22488,11-FEB-2020
ICICINXT50,EQ,29.36,32.77,27.5,29.18,29.2,29.36,12518,10-FEB-2020
