SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ICIL,EQ,29.35,30.5,27.75,28.05,27.75,29.25,197613,20-MAR-2020
ICIL,EQ,28.05,30.65,27.05,29.25,28.95,30.0,337593,19-MAR-2020
ICIL,EQ,32.35,33.45,29.5,30.0,29.5,31.95,377736,18-MAR-2020
ICIL,EQ,33.45,34.95,30.35,31.95,31.65,32.45,116783,17-MAR-2020
ICIL,EQ,32.65,35.9,32.0,32.45,32.25,36.15,187557,16-MAR-2020
ICIL,EQ,30.8,37.4,28.3,36.15,35.65,35.35,255069,13-MAR-2020
ICIL,EQ,37.1,38.45,33.0,35.35,35.3,39.9,479308,12-MAR-2020
ICIL,EQ,43.9,45.1,39.25,39.9,40.45,42.65,350684,11-MAR-2020
ICIL,EQ,47.25,48.5,40.75,42.65,43.85,48.15,261202,09-MAR-2020
ICIL,EQ,50.0,50.0,46.5,48.15,48.5,52.35,248528,06-MAR-2020
ICIL,EQ,52.7,53.0,50.4,52.35,52.15,51.05,133443,05-MAR-2020
ICIL,EQ,55.45,55.45,49.0,51.05,51.45,54.05,233634,04-MAR-2020
ICIL,EQ,54.1,55.0,53.1,54.05,54.2,53.05,104452,03-MAR-2020
ICIL,EQ,56.1,56.6,52.45,53.05,53.9,53.95,137356,02-MAR-2020
ICIL,EQ,54.1,56.0,53.0,53.95,53.1,57.55,187401,28-FEB-2020
ICIL,EQ,61.0,61.0,56.1,57.55,59.0,59.65,185615,27-FEB-2020
ICIL,EQ,60.9,62.3,59.0,59.65,60.7,61.05,174010,26-FEB-2020
ICIL,EQ,60.05,63.7,60.05,61.05,60.55,60.5,300492,25-FEB-2020
ICIL,EQ,63.1,64.25,59.5,60.5,61.4,64.85,501168,24-FEB-2020
ICIL,EQ,61.35,67.2,60.5,64.85,64.8,61.05,921542,20-FEB-2020
ICIL,EQ,56.95,61.5,56.3,61.05,61.15,56.1,377993,19-FEB-2020
ICIL,EQ,55.5,56.9,55.5,56.1,56.0,55.5,199704,18-FEB-2020
ICIL,EQ,57.1,59.4,55.0,55.5,55.45,57.75,130779,17-FEB-2020
ICIL,EQ,58.9,60.7,56.75,57.75,57.75,58.45,200589,14-FEB-2020
ICIL,EQ,60.9,63.2,57.65,58.45,58.4,60.9,529131,13-FEB-2020
ICIL,EQ,54.75,62.1,52.55,60.9,61.15,54.4,1835484,12-FEB-2020
ICIL,EQ,48.45,56.4,46.3,54.4,54.55,48.5,1716945,11-FEB-2020
ICIL,EQ,49.75,51.75,48.1,48.5,48.5,49.25,118661,10-FEB-2020
