SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
IDFC,EQ,17.1,17.5,15.35,16.2,16.2,17.0,4384347,20-MAR-2020
IDFC,EQ,18.0,18.1,17.0,17.0,17.0,18.85,4564885,19-MAR-2020
IDFC,EQ,21.0,21.4,18.3,18.85,19.15,20.55,3344220,18-MAR-2020
IDFC,EQ,22.3,23.0,20.1,20.55,20.65,22.0,4708324,17-MAR-2020
IDFC,EQ,24.0,24.45,21.75,22.0,21.9,24.8,2064437,16-MAR-2020
IDFC,EQ,22.5,26.25,19.8,24.8,24.75,24.5,6530622,13-MAR-2020
IDFC,EQ,25.05,26.9,23.7,24.5,24.4,28.85,2996925,12-MAR-2020
IDFC,EQ,27.65,29.15,27.65,28.85,28.6,27.55,2690645,11-MAR-2020
IDFC,EQ,31.6,31.6,27.0,27.55,27.2,30.25,2137249,09-MAR-2020
IDFC,EQ,30.55,31.2,28.8,30.25,30.15,31.85,2213204,06-MAR-2020
IDFC,EQ,32.5,32.5,31.75,31.85,31.8,32.0,945943,05-MAR-2020
IDFC,EQ,32.6,33.2,31.85,32.0,31.9,32.6,1037765,04-MAR-2020
IDFC,EQ,32.5,33.1,32.3,32.6,32.7,32.35,944652,03-MAR-2020
IDFC,EQ,32.4,33.1,32.05,32.35,32.05,32.15,3510214,02-MAR-2020
IDFC,EQ,33.45,33.45,31.85,32.15,32.15,33.4,1907157,28-FEB-2020
IDFC,EQ,33.5,33.6,33.1,33.4,33.5,33.5,1502458,27-FEB-2020
IDFC,EQ,34.1,34.25,33.45,33.5,33.5,34.0,2808974,26-FEB-2020
IDFC,EQ,34.55,34.9,33.9,34.0,34.05,34.45,560131,25-FEB-2020
IDFC,EQ,35.55,35.6,33.7,34.45,35.0,35.6,1092949,24-FEB-2020
IDFC,EQ,35.3,35.75,34.85,35.6,35.6,35.2,805518,20-FEB-2020
IDFC,EQ,34.0,35.45,34.0,35.2,35.3,33.85,942369,19-FEB-2020
IDFC,EQ,34.0,34.15,33.4,33.85,33.75,34.2,969736,18-FEB-2020
IDFC,EQ,34.7,34.8,33.95,34.2,34.0,34.55,789280,17-FEB-2020
IDFC,EQ,35.05,35.5,34.45,34.55,34.55,35.05,918200,14-FEB-2020
IDFC,EQ,35.2,35.6,34.8,35.05,35.1,35.2,898285,13-FEB-2020
IDFC,EQ,35.85,36.0,35.1,35.2,35.1,35.65,655754,12-FEB-2020
IDFC,EQ,35.7,36.2,35.5,35.65,35.8,35.6,886993,11-FEB-2020
IDFC,EQ,36.1,36.5,35.5,35.6,35.5,36.3,566695,10-FEB-2020
