SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
IFBIND,EQ,282.95,291.95,269.1,270.45,269.15,279.55,82575,20-MAR-2020
IFBIND,EQ,292.3,299.0,263.2,279.55,282.95,292.2,33514,19-MAR-2020
IFBIND,EQ,338.0,365.0,285.0,292.2,290.0,338.85,38772,18-MAR-2020
IFBIND,EQ,369.0,381.05,331.8,338.85,336.0,366.75,17944,17-MAR-2020
IFBIND,EQ,352.0,396.0,352.0,366.75,367.9,369.85,22367,16-MAR-2020
IFBIND,EQ,292.25,375.0,273.0,369.85,374.0,341.15,25355,13-MAR-2020
IFBIND,EQ,390.0,390.0,330.0,341.15,350.0,396.65,30399,12-MAR-2020
IFBIND,EQ,403.0,418.75,390.15,396.65,395.5,397.0,20359,11-MAR-2020
IFBIND,EQ,422.0,423.0,387.25,397.0,398.25,422.05,32045,09-MAR-2020
IFBIND,EQ,429.9,430.0,418.0,422.05,421.85,437.75,14866,06-MAR-2020
IFBIND,EQ,448.75,448.75,435.0,437.75,437.9,437.3,14095,05-MAR-2020
IFBIND,EQ,462.95,463.05,435.0,437.3,438.0,459.3,21397,04-MAR-2020
IFBIND,EQ,477.7,487.15,453.7,459.3,453.7,473.35,25494,03-MAR-2020
IFBIND,EQ,496.8,500.35,460.0,473.35,479.0,476.55,22406,02-MAR-2020
IFBIND,EQ,455.0,505.0,445.0,476.55,484.0,470.1,40272,28-FEB-2020
IFBIND,EQ,481.0,488.95,460.0,470.1,473.0,479.45,22575,27-FEB-2020
IFBIND,EQ,510.0,510.0,475.0,479.45,482.9,505.45,22698,26-FEB-2020
IFBIND,EQ,511.0,520.75,500.1,505.45,504.0,505.6,11282,25-FEB-2020
IFBIND,EQ,528.0,528.0,500.1,505.6,511.9,517.2,18692,24-FEB-2020
IFBIND,EQ,516.0,524.9,515.0,517.2,515.0,515.35,14507,20-FEB-2020
IFBIND,EQ,525.0,533.6,511.0,515.35,511.9,521.7,18272,19-FEB-2020
IFBIND,EQ,528.45,528.45,514.85,521.7,525.0,522.9,9485,18-FEB-2020
IFBIND,EQ,538.8,544.8,520.0,522.9,527.0,528.95,16478,17-FEB-2020
IFBIND,EQ,530.8,549.9,522.2,528.95,526.7,532.05,17762,14-FEB-2020
IFBIND,EQ,541.15,555.2,530.0,532.05,531.4,545.2,19818,13-FEB-2020
IFBIND,EQ,532.9,557.75,531.3,545.2,545.0,535.65,26753,12-FEB-2020
IFBIND,EQ,536.05,544.0,529.0,535.65,529.0,529.55,36047,11-FEB-2020
IFBIND,EQ,588.65,593.5,514.95,529.55,536.05,585.15,180852,10-FEB-2020
