SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
INDNIPPON,EQ,214.95,220.0,200.1,211.25,208.5,210.25,7475,20-MAR-2020
INDNIPPON,EQ,211.85,218.0,200.0,210.25,213.8,213.0,21122,19-MAR-2020
INDNIPPON,EQ,231.9,232.05,203.6,213.0,210.0,226.45,12805,18-MAR-2020
INDNIPPON,EQ,243.75,243.8,220.4,226.45,231.9,227.45,4200,17-MAR-2020
INDNIPPON,EQ,244.0,244.7,210.95,227.45,232.85,245.5,7593,16-MAR-2020
INDNIPPON,EQ,234.0,258.7,203.3,245.5,249.5,245.3,14456,13-MAR-2020
INDNIPPON,EQ,264.0,264.05,241.55,245.3,250.0,275.75,14737,12-MAR-2020
INDNIPPON,EQ,285.0,296.0,265.55,275.75,273.9,283.3,12876,11-MAR-2020
INDNIPPON,EQ,290.0,290.75,281.0,283.3,285.0,295.2,9289,09-MAR-2020
INDNIPPON,EQ,296.95,297.7,286.0,295.2,296.0,301.15,12838,06-MAR-2020
INDNIPPON,EQ,306.9,306.9,299.95,301.15,300.5,300.1,10006,05-MAR-2020
INDNIPPON,EQ,308.0,308.0,295.0,300.1,298.0,305.75,5135,04-MAR-2020
INDNIPPON,EQ,317.0,319.0,301.0,305.75,308.0,304.8,7250,03-MAR-2020
INDNIPPON,EQ,324.95,325.0,298.0,304.8,301.0,313.05,15448,02-MAR-2020
INDNIPPON,EQ,310.0,317.0,303.0,313.05,313.85,317.85,11420,28-FEB-2020
INDNIPPON,EQ,323.95,324.0,310.0,317.85,321.0,318.45,10715,27-FEB-2020
INDNIPPON,EQ,325.05,326.15,316.25,318.45,318.0,327.1,9045,26-FEB-2020
INDNIPPON,EQ,335.0,338.9,325.1,327.1,326.0,334.35,7126,25-FEB-2020
INDNIPPON,EQ,345.0,345.0,333.0,334.35,335.0,345.15,7070,24-FEB-2020
INDNIPPON,EQ,349.0,362.7,344.0,345.15,344.5,347.3,10258,20-FEB-2020
INDNIPPON,EQ,349.9,354.0,340.1,347.3,349.0,345.05,7495,19-FEB-2020
INDNIPPON,EQ,356.95,359.9,337.55,345.05,344.8,360.65,15987,18-FEB-2020
INDNIPPON,EQ,371.9,371.9,359.3,360.65,360.0,363.55,4763,17-FEB-2020
INDNIPPON,EQ,363.95,382.4,359.95,363.55,362.05,363.25,13101,14-FEB-2020
INDNIPPON,EQ,370.0,370.0,357.0,363.25,363.1,365.8,4564,13-FEB-2020
INDNIPPON,EQ,364.3,369.85,364.2,365.8,365.05,363.6,8941,12-FEB-2020
INDNIPPON,EQ,375.0,375.0,360.9,363.6,364.0,374.65,24248,11-FEB-2020
INDNIPPON,EQ,365.55,387.0,365.55,374.65,377.85,377.55,13632,10-FEB-2020
