SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
INDOSTAR,EQ,259.95,272.9,255.1,260.45,261.95,260.05,226998,20-MAR-2020
INDOSTAR,EQ,265.5,265.5,247.05,260.05,261.0,268.85,165395,19-MAR-2020
INDOSTAR,EQ,274.95,275.3,268.05,268.85,268.8,274.3,285939,18-MAR-2020
INDOSTAR,EQ,273.85,276.0,273.1,274.3,275.0,273.85,192750,17-MAR-2020
INDOSTAR,EQ,273.1,275.7,272.1,273.85,273.1,274.6,238497,16-MAR-2020
INDOSTAR,EQ,277.1,277.15,251.0,274.6,274.25,278.8,549609,13-MAR-2020
INDOSTAR,EQ,276.2,281.0,275.1,278.8,278.55,280.2,656312,12-MAR-2020
INDOSTAR,EQ,278.1,282.9,278.1,280.2,280.25,280.1,200740,11-MAR-2020
INDOSTAR,EQ,279.95,281.0,277.55,280.1,279.95,280.15,183787,09-MAR-2020
INDOSTAR,EQ,279.8,280.6,277.0,280.15,280.4,280.5,97813,06-MAR-2020
INDOSTAR,EQ,279.6,281.35,279.6,280.5,280.65,280.2,18623,05-MAR-2020
INDOSTAR,EQ,281.25,281.6,280.1,280.2,281.0,281.05,52129,04-MAR-2020
INDOSTAR,EQ,279.7,281.7,278.05,281.05,281.3,279.4,33632,03-MAR-2020
INDOSTAR,EQ,281.95,281.95,278.15,279.4,279.35,278.55,121459,02-MAR-2020
INDOSTAR,EQ,279.1,280.9,277.7,278.55,278.9,281.15,131044,28-FEB-2020
INDOSTAR,EQ,278.1,281.5,278.1,281.15,281.5,280.1,36690,27-FEB-2020
INDOSTAR,EQ,281.1,282.55,279.9,280.1,280.1,281.15,197463,26-FEB-2020
INDOSTAR,EQ,282.7,282.7,280.7,281.15,281.05,280.45,27377,25-FEB-2020
INDOSTAR,EQ,281.55,283.0,280.3,280.45,280.55,281.5,135990,24-FEB-2020
INDOSTAR,EQ,281.9,283.25,281.1,281.5,281.5,281.65,38636,20-FEB-2020
INDOSTAR,EQ,285.0,285.0,280.3,281.65,281.65,282.2,55913,19-FEB-2020
INDOSTAR,EQ,286.6,286.6,281.75,282.2,282.0,283.0,29067,18-FEB-2020
INDOSTAR,EQ,287.45,287.45,282.5,283.0,282.5,284.1,43729,17-FEB-2020
INDOSTAR,EQ,282.15,284.9,281.2,284.1,284.0,283.15,39207,14-FEB-2020
INDOSTAR,EQ,284.65,286.25,282.5,283.15,282.5,285.55,22176,13-FEB-2020
INDOSTAR,EQ,290.0,290.0,285.0,285.55,285.5,286.0,100578,12-FEB-2020
INDOSTAR,EQ,287.0,288.0,285.0,286.0,286.0,287.05,116572,11-FEB-2020
INDOSTAR,EQ,290.5,290.6,285.0,287.05,286.25,290.3,131465,10-FEB-2020
