SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
INFRATEL,EQ,124.2,155.9,122.8,148.15,152.1,124.05,16273662,20-MAR-2020
INFRATEL,EQ,149.9,149.9,120.05,124.05,122.5,149.9,22843722,19-MAR-2020
INFRATEL,EQ,194.4,202.55,148.0,149.9,150.7,194.4,16818285,18-MAR-2020
INFRATEL,EQ,209.9,214.5,190.7,194.4,193.55,209.4,7162959,17-MAR-2020
INFRATEL,EQ,219.8,220.9,203.0,209.4,207.8,227.25,6990095,16-MAR-2020
INFRATEL,EQ,221.0,241.7,208.05,227.25,228.75,221.3,10869358,13-MAR-2020
INFRATEL,EQ,207.0,224.5,207.0,221.3,222.0,224.75,8429211,12-MAR-2020
INFRATEL,EQ,209.0,226.7,207.0,224.75,224.95,211.0,9057714,11-MAR-2020
INFRATEL,EQ,196.0,215.0,195.3,211.0,209.5,203.7,6976203,09-MAR-2020
INFRATEL,EQ,209.7,209.7,201.0,203.7,202.7,214.7,3489700,06-MAR-2020
INFRATEL,EQ,222.7,223.75,211.6,214.7,215.4,221.05,6312226,05-MAR-2020
INFRATEL,EQ,219.35,223.0,215.8,221.05,220.45,219.35,4051461,04-MAR-2020
INFRATEL,EQ,220.0,225.0,213.05,219.35,218.55,216.85,4885039,03-MAR-2020
INFRATEL,EQ,216.0,226.25,210.2,216.85,216.9,214.45,5593236,02-MAR-2020
INFRATEL,EQ,217.0,218.0,211.15,214.45,216.0,223.1,5003761,28-FEB-2020
INFRATEL,EQ,218.75,225.4,215.2,223.1,221.1,218.75,8207359,27-FEB-2020
INFRATEL,EQ,216.3,221.4,211.0,218.75,216.6,216.3,7463028,26-FEB-2020
INFRATEL,EQ,219.5,221.9,207.75,216.3,217.45,215.95,12279734,25-FEB-2020
INFRATEL,EQ,242.0,242.0,207.5,215.95,216.4,226.2,19291593,24-FEB-2020
INFRATEL,EQ,225.5,231.0,224.6,226.2,225.3,225.1,10358700,20-FEB-2020
INFRATEL,EQ,215.0,228.2,212.25,225.1,224.7,210.0,22582088,19-FEB-2020
INFRATEL,EQ,235.4,235.4,200.7,210.0,208.35,235.0,23923588,18-FEB-2020
INFRATEL,EQ,234.85,239.95,232.0,235.0,235.1,235.45,4423991,17-FEB-2020
INFRATEL,EQ,246.0,251.0,227.7,235.45,231.5,244.85,15878119,14-FEB-2020
INFRATEL,EQ,247.5,247.7,242.05,244.85,245.45,243.35,1929975,13-FEB-2020
INFRATEL,EQ,248.0,248.0,242.2,243.35,245.15,248.8,2183986,12-FEB-2020
INFRATEL,EQ,243.0,249.0,241.2,248.8,248.0,239.8,3205776,11-FEB-2020
INFRATEL,EQ,245.55,252.75,238.3,239.8,239.4,247.8,4269585,10-FEB-2020
