SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
INOXWIND,EQ,20.4,21.3,19.5,21.0,21.05,19.4,89588,20-MAR-2020
INOXWIND,EQ,19.45,22.05,19.0,19.4,19.45,20.95,253240,19-MAR-2020
INOXWIND,EQ,23.85,23.85,20.75,20.95,20.75,23.25,176377,18-MAR-2020
INOXWIND,EQ,23.7,26.0,22.0,23.25,22.8,22.4,499550,17-MAR-2020
INOXWIND,EQ,23.9,28.5,21.0,22.4,22.4,23.8,685782,16-MAR-2020
INOXWIND,EQ,20.1,24.75,20.1,23.8,24.0,22.55,246088,13-MAR-2020
INOXWIND,EQ,24.15,25.1,21.35,22.55,23.5,26.05,260117,12-MAR-2020
INOXWIND,EQ,25.85,26.9,25.7,26.05,26.0,25.85,109171,11-MAR-2020
INOXWIND,EQ,27.8,27.8,25.5,25.85,25.8,27.65,158488,09-MAR-2020
INOXWIND,EQ,28.95,28.95,27.15,27.65,27.35,29.45,143296,06-MAR-2020
INOXWIND,EQ,31.0,31.85,29.4,29.45,29.5,30.1,200721,05-MAR-2020
INOXWIND,EQ,34.4,34.4,29.0,30.1,30.25,33.45,336037,04-MAR-2020
INOXWIND,EQ,34.0,35.7,33.05,33.45,33.25,34.15,663348,03-MAR-2020
INOXWIND,EQ,33.6,38.0,33.6,34.15,33.6,33.55,265481,02-MAR-2020
INOXWIND,EQ,35.0,35.2,33.5,33.55,33.55,35.0,112724,28-FEB-2020
INOXWIND,EQ,36.0,36.5,34.85,35.0,35.0,36.15,165732,27-FEB-2020
INOXWIND,EQ,36.5,37.0,36.0,36.15,36.2,36.65,99906,26-FEB-2020
INOXWIND,EQ,37.9,38.0,36.25,36.65,36.5,37.3,703846,25-FEB-2020
INOXWIND,EQ,37.5,38.8,36.8,37.3,37.4,37.15,171686,24-FEB-2020
INOXWIND,EQ,38.45,38.5,36.9,37.15,37.2,37.95,613386,20-FEB-2020
INOXWIND,EQ,37.65,38.5,37.5,37.95,37.8,37.55,603724,19-FEB-2020
INOXWIND,EQ,38.0,38.25,37.0,37.55,37.5,37.65,101905,18-FEB-2020
INOXWIND,EQ,36.25,37.9,36.25,37.65,37.6,36.85,111859,17-FEB-2020
INOXWIND,EQ,37.35,37.95,36.6,36.85,36.7,37.35,581259,14-FEB-2020
INOXWIND,EQ,37.65,37.9,37.0,37.35,37.2,37.3,564474,13-FEB-2020
INOXWIND,EQ,37.5,38.6,37.0,37.3,37.75,37.2,102369,12-FEB-2020
INOXWIND,EQ,37.1,38.6,37.0,37.2,37.5,36.9,634985,11-FEB-2020
INOXWIND,EQ,38.65,40.5,36.75,36.9,36.95,38.65,463288,10-FEB-2020
