SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
IRFC,N1,1070.5,1070.5,1070.0,1070.0,1070.0,1070.0,2148,20-MAR-2020
IRFC,N2,1158.0,1165.01,1158.0,1165.01,1165.01,1159.97,1445,20-MAR-2020
IRFC,N4,1135.0,1135.0,1135.0,1135.0,1135.0,1125.15,900,20-MAR-2020
IRFC,N9,1150.0,1219.9,1150.0,1162.01,1162.01,1165.0,710,20-MAR-2020
IRFC,,1300.0,1349.0,1268.0,1285.0,1285.0,1289.14,4341,20-MAR-2020
IRFC,NE,1349.99,1349.99,1300.0,1306.17,1306.0,1290.0,143,20-MAR-2020
IRFC,NI,1090.0,1109.0,1077.2,1078.05,1077.2,1089.96,878,20-MAR-2020
IRFC,NJ,1153.49,1153.5,1140.0,1141.98,1140.0,1141.58,2424,20-MAR-2020
IRFC,NK,1172.0,1188.95,1161.0,1181.99,1181.99,1167.54,1116,20-MAR-2020
IRFC,NN,1084.0,1084.0,1072.0,1072.0,1072.0,1090.1,100,20-MAR-2020
IRFC,NO,1156.1,1169.8,1156.0,1167.02,1167.0,1156.0,9087,20-MAR-2020
IRFC,N1,1066.6,1070.01,1065.0,1070.0,1070.0,1067.61,3060,19-MAR-2020
IRFC,N2,1158.0,1165.0,1158.0,1159.97,1158.01,1160.01,1111,19-MAR-2020
IRFC,N3,1055.01,1055.01,1055.01,1055.01,1055.01,1074.0,20,19-MAR-2020
IRFC,N6,1045.0,1045.0,1045.0,1045.0,1045.0,1300.0,2,19-MAR-2020
IRFC,N7,1289.99,1289.99,1289.8,1289.8,1289.8,1155.2,120,19-MAR-2020
IRFC,N9,1164.0,1167.0,1164.0,1165.0,1165.0,1167.0,210,19-MAR-2020
IRFC,,1319.0,1319.0,1260.0,1289.14,1303.99,1285.0,376,19-MAR-2020
IRFC,NE,1290.0,1290.0,1290.0,1290.0,1290.0,1308.0,5,19-MAR-2020
IRFC,NI,1090.1,1090.1,1060.0,1089.96,1090.0,1080.03,1082,19-MAR-2020
IRFC,NJ,1140.0,1148.0,1130.0,1141.58,1141.5,1150.01,4626,19-MAR-2020
IRFC,NK,1177.6,1177.6,1156.0,1167.54,1172.0,1185.52,2438,19-MAR-2020
IRFC,NO,1154.0,1168.9,1145.0,1156.0,1156.0,1162.73,9875,19-MAR-2020
IRFC,N1,1073.5,1073.5,1066.5,1067.61,1068.0,1074.0,2774,18-MAR-2020
IRFC,N2,1167.0,1167.0,1160.0,1160.01,1160.01,1170.99,1227,18-MAR-2020
IRFC,N3,1047.6,1074.0,1042.6,1074.0,1074.0,1042.6,450,18-MAR-2020
IRFC,N7,1160.21,1160.21,1155.2,1155.2,1155.2,1155.2,675,18-MAR-2020
IRFC,N9,1106.6,1224.99,1106.6,1167.0,1167.0,1170.0,213,18-MAR-2020
