SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ISMTLTD,EQ,2.75,2.75,2.3,2.5,2.55,2.65,81777,20-MAR-2020
ISMTLTD,EQ,2.8,2.85,2.4,2.65,2.55,2.7,42207,19-MAR-2020
ISMTLTD,EQ,3.0,3.0,2.35,2.7,2.75,2.85,191992,18-MAR-2020
ISMTLTD,EQ,3.3,3.3,2.75,2.85,2.75,3.1,90013,17-MAR-2020
ISMTLTD,EQ,3.3,3.3,2.85,3.1,3.15,3.1,16171,16-MAR-2020
ISMTLTD,EQ,3.0,3.9,2.65,3.1,3.2,3.3,26847,13-MAR-2020
ISMTLTD,EQ,3.45,3.45,3.0,3.3,3.35,3.55,34408,12-MAR-2020
ISMTLTD,EQ,3.5,3.65,3.4,3.55,3.5,3.6,27236,11-MAR-2020
ISMTLTD,EQ,3.7,3.7,3.35,3.6,3.6,3.65,96830,09-MAR-2020
ISMTLTD,EQ,3.45,3.8,3.0,3.65,3.7,3.6,98146,06-MAR-2020
ISMTLTD,EQ,3.45,3.6,3.45,3.6,3.6,3.45,46704,05-MAR-2020
ISMTLTD,EQ,3.55,3.65,3.4,3.45,3.45,3.55,17727,04-MAR-2020
ISMTLTD,EQ,3.25,3.6,3.25,3.55,3.6,3.4,97920,03-MAR-2020
ISMTLTD,EQ,3.65,3.65,3.35,3.4,3.5,3.35,22088,02-MAR-2020
ISMTLTD,EQ,3.7,3.7,3.25,3.35,3.3,3.65,74331,28-FEB-2020
ISMTLTD,EQ,3.55,3.8,3.2,3.65,3.65,3.45,99586,27-FEB-2020
ISMTLTD,EQ,3.5,3.6,3.4,3.45,3.4,3.55,177190,26-FEB-2020
ISMTLTD,EQ,4.1,4.1,3.45,3.55,3.5,3.95,552579,25-FEB-2020
ISMTLTD,EQ,4.15,4.15,3.85,3.95,4.0,4.1,26886,24-FEB-2020
ISMTLTD,EQ,4.2,4.2,3.85,4.1,4.1,3.85,59956,20-FEB-2020
ISMTLTD,EQ,3.85,4.1,3.7,3.85,3.85,3.75,24893,19-FEB-2020
ISMTLTD,EQ,4.05,4.05,3.75,3.75,3.75,4.0,69376,18-FEB-2020
ISMTLTD,EQ,4.4,4.4,3.95,4.0,3.95,4.05,64900,17-FEB-2020
ISMTLTD,EQ,4.1,4.15,3.9,4.05,4.0,4.05,44445,14-FEB-2020
ISMTLTD,EQ,4.1,4.1,3.95,4.05,4.05,4.05,8433,13-FEB-2020
ISMTLTD,EQ,4.15,4.2,3.8,4.05,4.1,4.1,57428,12-FEB-2020
ISMTLTD,EQ,4.3,4.3,4.05,4.1,4.15,4.2,16617,11-FEB-2020
ISMTLTD,EQ,4.25,4.4,4.15,4.2,4.2,4.25,30840,10-FEB-2020
