SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
JAKHARIA,SM,185.0,185.0,185.0,185.0,185.0,164.5,800,20-MAR-2020
JAKHARIA,SM,164.5,164.5,164.5,164.5,164.5,180.0,800,19-MAR-2020
JAKHARIA,SM,179.0,180.0,172.0,180.0,180.0,179.0,11200,18-MAR-2020
JAKHARIA,SM,180.0,180.0,179.0,179.0,179.0,180.5,47200,17-MAR-2020
JAKHARIA,SM,184.0,185.0,176.0,180.5,185.0,184.75,72000,16-MAR-2020
JAKHARIA,SM,185.0,185.0,184.75,184.75,184.75,180.0,29600,13-MAR-2020
JAKHARIA,SM,180.0,180.0,180.0,180.0,180.0,183.0,1600,12-MAR-2020
JAKHARIA,SM,181.0,183.0,181.0,183.0,183.0,185.0,20800,11-MAR-2020
JAKHARIA,SM,185.0,185.0,185.0,185.0,185.0,182.0,8000,06-MAR-2020
JAKHARIA,SM,182.0,182.0,182.0,182.0,182.0,182.0,1600,05-MAR-2020
JAKHARIA,SM,182.0,182.0,182.0,182.0,182.0,185.0,13600,04-MAR-2020
JAKHARIA,SM,185.0,185.0,185.0,185.0,185.0,180.0,10400,03-MAR-2020
JAKHARIA,SM,180.0,180.0,180.0,180.0,180.0,185.0,800,25-FEB-2020
JAKHARIA,SM,185.0,185.0,185.0,185.0,185.0,180.55,1600,20-FEB-2020
JAKHARIA,SM,180.55,180.55,180.55,180.55,180.55,180.1,14400,18-FEB-2020
JAKHARIA,SM,180.1,180.1,180.1,180.1,180.1,180.0,21600,17-FEB-2020
JAKHARIA,SM,180.0,180.0,180.0,180.0,180.0,187.0,800,12-FEB-2020
JAKHARIA,SM,187.0,187.0,187.0,187.0,187.0,181.0,7200,10-FEB-2020
