SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
JBFIND,BE,9.5,9.5,9.5,9.5,9.5,9.95,1167,20-MAR-2020
JBFIND,BE,9.95,9.95,9.95,9.95,9.95,10.45,4490,19-MAR-2020
JBFIND,BE,10.45,10.45,10.45,10.45,10.45,10.95,978,18-MAR-2020
JBFIND,BE,10.95,10.95,10.95,10.95,10.95,11.5,6126,17-MAR-2020
JBFIND,BE,11.85,11.85,11.5,11.5,11.5,12.1,4552,16-MAR-2020
JBFIND,BE,12.1,12.1,12.1,12.1,12.1,12.7,2176,13-MAR-2020
JBFIND,BE,12.7,12.7,12.7,12.7,12.7,13.35,5097,12-MAR-2020
JBFIND,BE,13.35,13.35,13.35,13.35,13.35,14.05,1286,11-MAR-2020
JBFIND,BE,14.05,14.05,14.05,14.05,14.05,14.75,10951,09-MAR-2020
JBFIND,BE,14.75,14.75,14.75,14.75,14.75,15.5,691,06-MAR-2020
JBFIND,BE,15.5,15.5,15.5,15.5,15.5,16.3,1560,05-MAR-2020
JBFIND,BE,16.3,16.3,16.3,16.3,16.3,17.15,1844,04-MAR-2020
JBFIND,BE,17.15,17.15,17.15,17.15,17.15,18.05,249,03-MAR-2020
JBFIND,BE,18.05,18.05,18.05,18.05,18.05,19.0,427,02-MAR-2020
JBFIND,BE,19.0,19.0,19.0,19.0,19.0,19.95,4324,28-FEB-2020
JBFIND,BE,22.05,22.05,19.95,19.95,19.95,21.0,203457,27-FEB-2020
JBFIND,BE,21.0,21.0,21.0,21.0,21.0,20.0,21232,26-FEB-2020
JBFIND,BE,20.0,20.0,20.0,20.0,20.0,19.05,40389,25-FEB-2020
JBFIND,BE,19.05,19.05,18.95,19.05,19.05,18.15,99378,24-FEB-2020
JBFIND,BE,18.15,18.15,18.15,18.15,18.15,17.3,57323,20-FEB-2020
JBFIND,BE,17.3,17.3,17.3,17.3,17.3,16.5,32724,19-FEB-2020
JBFIND,BE,16.5,16.5,16.5,16.5,16.5,15.75,153878,18-FEB-2020
JBFIND,BE,15.7,15.75,15.7,15.75,15.75,15.0,46381,17-FEB-2020
JBFIND,BE,15.0,15.0,15.0,15.0,15.0,14.3,51074,14-FEB-2020
JBFIND,BE,14.3,14.3,13.0,14.3,14.3,13.65,240093,13-FEB-2020
JBFIND,EQ,13.65,13.65,13.65,13.65,13.65,13.0,33286,12-FEB-2020
JBFIND,EQ,13.0,13.0,13.0,13.0,13.0,12.4,56245,11-FEB-2020
JBFIND,EQ,12.4,12.4,12.4,12.4,12.4,11.85,58141,10-FEB-2020
