SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
JCHAC,EQ,2210.0,2530.0,2181.1,2442.85,2441.0,2216.35,10275,20-MAR-2020
JCHAC,EQ,2236.0,2330.0,2100.05,2216.35,2170.1,2385.55,10611,19-MAR-2020
JCHAC,EQ,2569.75,2954.9,2190.0,2385.55,2399.0,2569.5,8590,18-MAR-2020
JCHAC,EQ,2544.0,2642.15,2416.05,2569.5,2565.0,2570.5,19639,17-MAR-2020
JCHAC,EQ,2807.0,2807.0,2500.0,2570.5,2501.0,2888.65,11111,16-MAR-2020
JCHAC,EQ,2655.0,3484.4,2511.0,2888.65,2853.0,2960.4,13970,13-MAR-2020
JCHAC,EQ,2801.1,3096.0,2510.0,2960.4,3030.0,2960.55,42549,12-MAR-2020
JCHAC,EQ,2999.0,3052.95,2858.7,2960.55,2970.1,2996.2,5985,11-MAR-2020
JCHAC,EQ,3065.15,3148.95,2856.4,2996.2,2911.0,3159.85,10920,09-MAR-2020
JCHAC,EQ,3029.0,3219.0,3029.0,3159.85,3111.0,3219.25,10564,06-MAR-2020
JCHAC,EQ,3170.0,3339.0,3166.1,3219.25,3200.2,3045.3,24071,05-MAR-2020
JCHAC,EQ,3000.0,3437.9,2826.05,3045.3,3350.0,2989.5,15328,04-MAR-2020
JCHAC,EQ,2989.0,3011.0,2856.85,2989.5,3011.0,2929.6,4006,03-MAR-2020
JCHAC,EQ,2836.25,2999.0,2820.0,2929.6,2930.1,2836.25,13195,02-MAR-2020
JCHAC,EQ,2840.0,2892.75,2711.25,2836.25,2850.0,2871.75,10536,28-FEB-2020
JCHAC,EQ,2860.1,2889.95,2778.35,2871.75,2841.3,2851.4,5464,27-FEB-2020
JCHAC,EQ,2800.0,2869.9,2771.55,2851.4,2850.1,2845.25,6195,26-FEB-2020
JCHAC,EQ,2925.0,2925.0,2749.75,2845.25,2850.0,2793.45,6059,25-FEB-2020
JCHAC,EQ,2985.4,2985.4,2704.05,2793.45,2825.05,2963.9,15380,24-FEB-2020
JCHAC,EQ,2958.95,3049.0,2930.1,2963.9,2950.0,2952.2,11008,20-FEB-2020
JCHAC,EQ,2940.0,2980.0,2883.05,2952.2,2945.0,2909.6,32439,19-FEB-2020
JCHAC,EQ,2875.0,2939.9,2755.0,2909.6,2924.0,2874.1,7171,18-FEB-2020
JCHAC,EQ,2860.0,2904.25,2850.8,2874.1,2892.35,2858.1,7304,17-FEB-2020
JCHAC,EQ,2869.9,2915.0,2823.8,2858.1,2841.0,2877.8,9796,14-FEB-2020
JCHAC,EQ,2820.0,2945.0,2817.15,2877.8,2856.0,2792.85,24868,13-FEB-2020
JCHAC,EQ,2660.0,2887.0,2570.7,2792.85,2851.05,2632.75,18372,12-FEB-2020
JCHAC,EQ,2590.0,2680.0,2567.4,2632.75,2644.0,2561.95,18695,11-FEB-2020
JCHAC,EQ,2488.35,2579.0,2488.2,2561.95,2561.0,2468.6,22653,10-FEB-2020
