SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
JINDALSAW,EQ,49.7,58.0,49.7,54.3,55.05,49.95,1041128,20-MAR-2020
JINDALSAW,EQ,52.0,52.0,43.4,49.95,49.6,54.25,1455544,19-MAR-2020
JINDALSAW,EQ,60.4,62.35,53.7,54.25,55.0,61.1,652575,18-MAR-2020
JINDALSAW,EQ,64.6,65.0,59.1,61.1,60.75,64.35,620133,17-MAR-2020
JINDALSAW,EQ,63.0,66.15,58.7,64.35,65.4,66.0,1178069,16-MAR-2020
JINDALSAW,EQ,54.2,68.5,54.1,66.0,66.9,62.8,937524,13-MAR-2020
JINDALSAW,EQ,69.4,69.5,61.95,62.8,62.55,71.8,755043,12-MAR-2020
JINDALSAW,EQ,73.0,74.25,71.25,71.8,71.7,72.85,404372,11-MAR-2020
JINDALSAW,EQ,77.0,78.4,71.1,72.85,72.85,79.25,1048865,09-MAR-2020
JINDALSAW,EQ,80.75,81.5,78.4,79.25,79.8,83.35,712807,06-MAR-2020
JINDALSAW,EQ,85.0,85.55,82.5,83.35,83.2,83.5,677634,05-MAR-2020
JINDALSAW,EQ,82.4,84.5,80.15,83.5,83.7,82.1,835620,04-MAR-2020
JINDALSAW,EQ,78.1,83.45,78.1,82.1,83.25,77.05,645994,03-MAR-2020
JINDALSAW,EQ,77.3,81.45,75.2,77.05,77.6,76.0,783145,02-MAR-2020
JINDALSAW,EQ,80.6,80.6,75.0,76.0,75.55,82.25,623474,28-FEB-2020
JINDALSAW,EQ,82.4,82.9,79.55,82.25,82.45,82.5,552251,27-FEB-2020
JINDALSAW,EQ,83.75,86.25,81.2,82.5,82.5,84.05,665788,26-FEB-2020
JINDALSAW,EQ,85.85,86.7,83.65,84.05,84.25,85.45,405977,25-FEB-2020
JINDALSAW,EQ,88.9,89.4,85.15,85.45,85.65,89.65,458181,24-FEB-2020
JINDALSAW,EQ,88.5,91.3,88.05,89.65,89.7,88.6,745320,20-FEB-2020
JINDALSAW,EQ,89.15,90.6,88.1,88.6,88.35,89.1,523198,19-FEB-2020
JINDALSAW,EQ,91.95,93.25,87.35,89.1,88.55,91.25,2074454,18-FEB-2020
JINDALSAW,EQ,88.95,92.2,86.5,91.25,91.5,88.5,1769933,17-FEB-2020
JINDALSAW,EQ,81.85,89.25,81.65,88.5,88.8,81.85,2127376,14-FEB-2020
JINDALSAW,EQ,83.0,83.25,81.15,81.85,82.0,82.95,347906,13-FEB-2020
JINDALSAW,EQ,85.75,86.2,82.2,82.95,83.1,85.2,515674,12-FEB-2020
JINDALSAW,EQ,85.9,87.3,85.0,85.2,85.4,85.5,506250,11-FEB-2020
JINDALSAW,EQ,89.2,89.5,85.25,85.5,85.75,89.15,548110,10-FEB-2020
