SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
JINDRILL,EQ,52.2,60.8,52.2,55.35,55.3,54.9,18275,20-MAR-2020
JINDRILL,EQ,52.3,56.9,52.0,54.9,53.0,55.35,13068,19-MAR-2020
JINDRILL,EQ,55.05,60.95,54.0,55.35,56.0,57.25,8666,18-MAR-2020
JINDRILL,EQ,58.3,60.15,57.0,57.25,57.95,58.05,9200,17-MAR-2020
JINDRILL,EQ,64.4,66.0,55.75,58.05,58.8,60.4,23359,16-MAR-2020
JINDRILL,EQ,58.0,73.5,51.2,60.4,61.0,63.95,45265,13-MAR-2020
JINDRILL,EQ,70.0,70.0,62.2,63.95,64.0,72.45,11639,12-MAR-2020
JINDRILL,EQ,72.0,75.05,70.0,72.45,72.2,69.3,23094,11-MAR-2020
JINDRILL,EQ,77.0,77.0,67.1,69.3,68.5,77.9,13899,09-MAR-2020
JINDRILL,EQ,79.5,79.5,76.0,77.9,78.0,80.35,16722,06-MAR-2020
JINDRILL,EQ,78.05,81.05,76.95,80.35,81.05,77.2,5172,05-MAR-2020
JINDRILL,EQ,78.3,81.05,75.15,77.2,77.5,80.75,8297,04-MAR-2020
JINDRILL,EQ,81.05,82.2,80.0,80.75,80.3,80.9,4983,03-MAR-2020
JINDRILL,EQ,83.3,86.15,80.0,80.9,80.0,83.35,14606,02-MAR-2020
JINDRILL,EQ,84.0,84.6,80.95,83.35,82.0,84.15,33007,28-FEB-2020
JINDRILL,EQ,82.0,85.95,80.0,84.15,83.85,82.35,13634,27-FEB-2020
JINDRILL,EQ,85.0,86.85,80.55,82.35,86.0,85.55,27568,26-FEB-2020
JINDRILL,EQ,92.6,95.0,82.15,85.55,84.2,92.9,22955,25-FEB-2020
JINDRILL,EQ,94.3,94.65,90.55,92.9,91.0,94.3,10519,24-FEB-2020
JINDRILL,EQ,93.8,96.0,93.8,94.3,94.5,94.05,10279,20-FEB-2020
JINDRILL,EQ,93.45,95.25,92.85,94.05,93.8,92.15,13584,19-FEB-2020
JINDRILL,EQ,95.4,95.4,91.25,92.15,93.45,95.9,16661,18-FEB-2020
JINDRILL,EQ,98.15,99.75,95.1,95.9,95.15,98.25,10890,17-FEB-2020
JINDRILL,EQ,98.1,100.35,98.0,98.25,100.0,99.7,13145,14-FEB-2020
JINDRILL,EQ,103.6,103.95,96.5,99.7,99.4,99.05,18665,13-FEB-2020
JINDRILL,EQ,101.1,103.0,98.5,99.05,98.5,101.65,24431,12-FEB-2020
JINDRILL,EQ,102.6,106.95,100.5,101.65,100.65,103.3,29974,11-FEB-2020
JINDRILL,EQ,104.1,105.8,100.05,103.3,104.0,107.1,30455,10-FEB-2020
