SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
JISLDVREQS,EQ,3.75,3.75,3.75,3.75,3.75,3.9,25179,20-MAR-2020
JISLDVREQS,EQ,3.9,3.9,3.9,3.9,3.9,4.1,48811,19-MAR-2020
JISLDVREQS,EQ,4.1,4.45,4.1,4.1,4.1,4.3,6677,18-MAR-2020
JISLDVREQS,EQ,4.3,4.3,4.3,4.3,4.3,4.5,14572,17-MAR-2020
JISLDVREQS,EQ,4.85,4.9,4.5,4.5,4.5,4.7,45539,16-MAR-2020
JISLDVREQS,EQ,4.8,4.95,4.6,4.7,4.8,4.8,49145,13-MAR-2020
JISLDVREQS,EQ,5.05,5.05,4.8,4.8,4.8,5.05,23945,12-MAR-2020
JISLDVREQS,EQ,4.95,5.05,4.75,5.05,5.05,4.85,28367,11-MAR-2020
JISLDVREQS,EQ,4.7,4.9,4.5,4.85,4.9,4.7,41238,09-MAR-2020
JISLDVREQS,EQ,4.6,4.75,4.45,4.7,4.65,4.65,22230,06-MAR-2020
JISLDVREQS,EQ,4.5,4.65,4.3,4.65,4.65,4.45,34104,05-MAR-2020
JISLDVREQS,EQ,4.9,4.95,4.45,4.45,4.45,4.9,42319,04-MAR-2020
JISLDVREQS,EQ,5.35,5.35,4.75,4.9,5.0,5.25,33383,03-MAR-2020
JISLDVREQS,EQ,4.9,5.7,4.9,5.25,5.2,5.3,27063,02-MAR-2020
JISLDVREQS,EQ,5.35,5.65,5.1,5.3,5.45,5.35,32422,28-FEB-2020
JISLDVREQS,EQ,5.55,5.7,5.3,5.35,5.35,5.55,18266,27-FEB-2020
JISLDVREQS,EQ,5.6,5.8,5.25,5.55,5.5,5.6,22214,26-FEB-2020
JISLDVREQS,EQ,5.45,6.0,5.4,5.6,5.6,5.55,24256,25-FEB-2020
JISLDVREQS,EQ,6.45,6.45,5.55,5.55,5.65,5.9,33788,24-FEB-2020
JISLDVREQS,EQ,5.75,5.95,5.45,5.9,5.95,5.65,30789,20-FEB-2020
JISLDVREQS,EQ,5.4,5.85,5.2,5.65,5.75,5.45,19053,19-FEB-2020
JISLDVREQS,EQ,6.0,6.3,5.4,5.45,5.45,6.0,65634,18-FEB-2020
JISLDVREQS,EQ,6.6,6.6,5.95,6.0,6.25,6.6,78102,17-FEB-2020
JISLDVREQS,EQ,6.7,6.8,6.45,6.6,6.7,6.6,23421,14-FEB-2020
JISLDVREQS,EQ,6.8,6.8,6.5,6.6,6.6,6.6,26981,13-FEB-2020
JISLDVREQS,EQ,6.6,6.95,6.5,6.6,6.55,6.75,21102,12-FEB-2020
JISLDVREQS,EQ,6.8,7.0,6.5,6.75,6.9,6.8,11029,11-FEB-2020
JISLDVREQS,EQ,6.65,6.85,6.5,6.8,6.85,6.7,21194,10-FEB-2020
