SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
JIYAECO,EQ,8.15,8.15,8.15,8.15,8.15,8.3,10571,20-MAR-2020
JIYAECO,EQ,8.3,8.3,8.3,8.3,8.3,8.45,46278,19-MAR-2020
JIYAECO,EQ,8.45,8.45,8.45,8.45,8.45,8.6,21596,18-MAR-2020
JIYAECO,EQ,8.6,8.6,8.6,8.6,8.6,9.05,62048,17-MAR-2020
JIYAECO,EQ,9.05,9.05,9.05,9.05,9.05,9.5,108431,16-MAR-2020
JIYAECO,EQ,9.5,9.5,9.5,9.5,9.5,9.95,25726,13-MAR-2020
JIYAECO,EQ,9.95,9.95,9.95,9.95,9.95,10.45,19176,12-MAR-2020
JIYAECO,EQ,10.45,10.45,10.45,10.45,10.45,10.95,34479,11-MAR-2020
JIYAECO,EQ,10.95,10.95,10.95,10.95,10.95,11.5,11665,09-MAR-2020
JIYAECO,EQ,11.5,11.5,11.5,11.5,11.5,12.1,39019,06-MAR-2020
JIYAECO,EQ,12.15,12.55,12.1,12.1,12.1,12.7,157825,05-MAR-2020
JIYAECO,EQ,13.5,13.9,12.7,12.7,12.7,13.35,113920,04-MAR-2020
JIYAECO,EQ,14.05,14.05,13.35,13.35,13.35,14.05,181278,03-MAR-2020
JIYAECO,EQ,14.3,14.95,13.65,14.05,13.65,14.3,178500,02-MAR-2020
JIYAECO,EQ,14.55,14.95,14.25,14.3,14.25,14.95,187650,28-FEB-2020
JIYAECO,EQ,15.0,15.5,14.55,14.95,14.8,15.2,130322,27-FEB-2020
JIYAECO,EQ,15.2,16.4,15.2,15.2,15.3,15.95,302122,26-FEB-2020
JIYAECO,EQ,15.95,15.95,15.95,15.95,15.95,16.75,13932,25-FEB-2020
JIYAECO,EQ,16.85,16.95,16.75,16.75,16.75,17.6,68707,24-FEB-2020
JIYAECO,EQ,17.45,18.3,16.65,17.6,17.35,17.45,653676,20-FEB-2020
JIYAECO,EQ,17.45,17.45,16.7,17.45,17.45,16.65,438125,19-FEB-2020
JIYAECO,EQ,16.65,16.65,16.25,16.65,16.65,15.9,298841,18-FEB-2020
JIYAECO,EQ,14.45,15.95,14.45,15.9,15.95,15.2,547914,17-FEB-2020
JIYAECO,EQ,15.5,15.5,15.2,15.2,15.2,15.95,94642,14-FEB-2020
JIYAECO,EQ,15.95,16.35,15.95,15.95,15.95,16.75,248093,13-FEB-2020
JIYAECO,EQ,17.6,17.9,16.75,16.75,16.75,17.6,128535,12-FEB-2020
JIYAECO,EQ,18.55,18.7,17.35,17.6,17.5,18.1,179861,11-FEB-2020
JIYAECO,EQ,19.2,19.2,18.05,18.1,18.2,18.95,136761,10-FEB-2020
